id,geom,Unemployment Rate,Employment Rate,Family Identity Card,Death Rate,Migration,Registered Residents,Health Facilities,Mortality,Water Access,Internet Access,Electricity Access,Income per Capita,Population,Birth Rate,Households,School Enrollment,People Density,Average Age,Vehicle Ownership,Literacy Rate
4159,POINT (119.884812 -2.137976),6.66,96.02,758707,69.65,87.84,929076,409337,3.58,23.27,71.16,86.44,2462421,909934,11.42,164746,11.45,8812,59,2,62.86
4160,POINT (118.634690 1.313730),31.25,82.56,977196,94.34,42.66,23450,486483,26.61,53.26,39.28,13.67,10170345,873074,40.88,339136,96.93,19396,59,5,68.84
4161,POINT (102.716147 -3.011115),50.5,6.6,48521,72.8,69.27,843438,606481,3.4,72.01,76.52,53.25,7323888,657221,70.57,222819,87.09,4325,32,1,43.14
4162,POINT (122.401516 -0.998259),71.35,95.39,125807,36.13,21.34,683041,587255,48.6,53.38,36.74,24.54,3608626,801972,29.35,850159,46.15,13816,20,4,52.6
4163,POINT (113.494470 -2.540140),14.68,73.58,227020,53.99,59.5,96477,424788,11.61,97.97,90.55,46.71,8352288,681064,21.12,236302,18.51,16737,37,0,43.81
4164,POINT (102.776838 1.157320),84.73,31.22,705392,23.82,99.34,8006,757613,80.43,79.16,63.68,42.59,3405522,769534,49.14,95579,97.59,8236,48,2,54.5
4165,POINT (110.604955 -2.028374),76.81,64.89,634221,33.41,94.01,960460,77994,16.17,36.9,56.56,84.15,2396560,594475,48.76,303711,31.08,2942,52,5,89.4
4166,POINT (98.875954 1.508210),68.58,53.43,218779,13.42,91.31,479377,59632,58.49,95.81,11.26,25.39,11717967,641899,89.45,668325,4.74,21990,34,2,75.37
4167,POINT (139.972792 -7.077459),65.23,7.31,217003,1.79,89.02,104147,395103,85.99,4.39,34.41,74.46,10527935,455665,74.44,360714,20.39,9709,67,0,96.46
4168,POINT (122.260344 0.626006),94.1,66.12,189178,13.56,70.33,114905,612601,95.47,91.33,82.07,10.01,9140809,904100,42.45,771549,88.16,13507,38,1,56.63
4169,POINT (133.423418 -3.112161),24.3,14.16,538534,45.19,22.13,966213,66260,42.03,40.66,3.71,26.63,13584218,722528,74.13,116034,8.64,14384,60,2,10.37
4170,POINT (115.733105 -0.445856),45.24,10.43,569293,17.51,61.1,75825,289360,7.1,18.35,46.14,90.92,1649861,365315,6.93,824277,69.45,3688,44,3,57.61
4171,POINT (101.183459 -0.800237),30.25,73.14,601685,37.3,22.98,904397,962354,17.0,38.31,10.99,38.75,9075036,375876,50.62,982622,20.24,15601,58,3,61.38
4172,POINT (110.253105 -7.358265),94.29,20.91,512772,90.19,74.19,798463,366019,67.13,84.86,96.01,57.77,13788925,886518,53.06,695813,88.51,3501,64,2,63.79
4173,POINT (121.383240 -3.174980),32.15,7.52,510505,71.85,27.28,413009,315778,61.94,78.19,12.06,29.59,3670603,931154,56.99,402380,36.3,12874,35,3,80.41
4174,POINT (113.657243 -8.110707),27.83,51.16,815147,45.35,92.72,578601,152830,67.88,90.79,27.59,32.03,3436681,268454,91.07,526418,48.41,7136,50,4,12.78
4175,POINT (114.153188 -1.577782),22.18,41.35,469962,49.5,88.75,694455,949528,21.94,53.42,22.94,40.89,11201784,174256,92.2,151214,44.08,11007,67,3,23.77
4176,POINT (137.196073 -3.414962),66.97,61.1,250835,32.95,90.1,121182,9429,3.08,21.2,16.17,89.08,1450634,838151,14.07,429348,53.86,1815,30,2,22.06
4177,POINT (135.532501 -4.238214),47.9,31.19,751465,98.04,96.76,360153,423254,29.26,53.69,48.88,24.83,4650938,784773,55.5,913637,62.26,23478,45,2,36.86
4178,POINT (112.264318 1.099017),83.56,83.49,562734,64.19,53.45,459026,333785,32.53,40.25,93.19,31.84,6820679,773181,15.75,792597,81.84,4239,40,4,14.19
4179,POINT (100.888413 0.448530),77.27,70.26,398760,4.69,15.32,641030,307997,28.48,2.95,21.28,73.78,9048581,763090,82.82,596795,71.17,23371,71,3,9.27
4180,POINT (97.756555 4.743938),46.33,26.56,29874,97.15,45.26,750786,238138,64.25,33.9,35.93,65.81,3890492,461561,1.04,683792,69.0,4478,28,3,15.19
4181,POINT (106.213381 -6.390837),10.57,19.36,164968,6.28,53.01,244274,495921,18.34,60.86,52.9,10.24,10818872,972688,18.0,322757,50.49,8921,49,0,80.01
4182,POINT (99.874864 2.363816),42.83,96.91,458868,78.9,32.46,608509,613673,24.82,54.73,72.32,9.1,7130370,80314,52.11,839018,93.39,24473,47,1,63.74
4183,POINT (110.469716 -7.551494),1.25,27.32,688114,78.94,83.4,442703,833001,35.5,87.05,4.7,27.71,2615629,935739,2.64,857035,41.96,4997,71,0,53.42
4184,POINT (110.994939 -8.033113),60.57,19.25,203920,59.57,19.09,28318,562828,62.96,22.35,60.26,69.94,2420925,421403,92.14,545776,39.11,6373,67,3,81.83
4185,POINT (136.684271 -4.325300),22.15,14.94,213731,91.97,66.56,800035,58155,85.41,1.55,67.69,60.43,11136524,288056,39.76,392163,32.32,8822,37,5,2.3
4186,POINT (102.509943 -1.173699),62.07,4.25,760070,18.64,99.02,77677,407472,37.85,18.06,30.03,96.96,9076490,216874,40.0,827840,66.77,14516,56,5,1.66
4187,POINT (138.034200 -2.630367),70.59,31.36,299128,82.59,14.19,773153,182712,12.42,43.71,17.54,83.05,12215663,512298,97.41,908811,15.06,20767,54,1,54.37
4188,POINT (111.275655 -0.942358),55.82,91.0,729597,23.44,38.09,979169,781190,63.84,48.33,71.62,44.73,13104721,195525,59.99,64595,67.28,16303,29,5,95.31
4189,POINT (112.453425 -2.884816),1.76,48.74,163797,17.1,63.06,611778,740269,28.67,52.91,87.95,65.62,9413872,660964,76.01,63726,99.7,24024,65,1,96.45
4190,POINT (140.319550 -7.759980),14.65,7.15,10047,67.03,24.71,748403,720470,67.67,36.59,75.09,88.17,2056016,934494,26.86,757086,96.0,16549,69,3,68.0
4191,POINT (112.513279 -2.196938),42.63,34.34,833994,83.42,37.22,351669,916269,15.6,39.09,94.55,81.66,1243499,729172,78.79,701890,9.66,6572,21,5,61.65
4192,POINT (139.763549 -5.205556),58.38,79.8,496635,88.42,33.6,258416,964339,51.51,43.8,9.84,90.66,11193097,148969,30.73,27388,26.6,1664,34,4,10.63
4193,POINT (104.060398 -4.478767),93.84,39.76,946077,48.02,46.76,6821,187373,33.44,43.5,45.63,45.08,9816663,183746,4.01,557260,4.03,21287,75,1,1.76
4194,POINT (134.145483 -6.248432),1.65,18.63,600751,93.35,69.34,364608,651055,93.86,29.34,34.3,53.28,9224169,668649,72.75,757510,89.13,7152,52,4,31.55
4195,POINT (117.311737 2.970085),26.48,87.78,233286,86.83,35.45,406928,775725,6.3,10.73,43.19,17.6,7586743,413654,89.66,339870,84.63,5892,68,2,5.44
4196,POINT (98.187023 4.255013),13.33,90.44,676631,1.87,92.89,665598,856240,49.97,50.54,78.33,86.55,13539166,565904,73.76,394781,3.07,24566,30,1,22.14
4197,POINT (116.766159 -0.775587),36.09,56.29,482615,49.62,27.56,629758,244847,24.86,75.67,46.18,48.87,12106811,489632,47.62,703650,77.0,21154,68,5,86.8
4198,POINT (138.689398 -5.310505),24.0,77.83,913208,58.41,82.16,199169,837040,53.58,65.71,76.8,76.9,8472234,685998,36.92,920834,78.97,3967,80,4,31.89
4199,POINT (116.934528 2.662079),79.76,3.49,312909,45.93,85.31,615806,787078,59.21,80.74,81.28,50.46,8188471,716558,70.81,500368,70.26,6705,26,5,23.55
4200,POINT (116.244218 -2.487010),58.23,50.96,479119,15.32,1.93,733156,127199,6.86,19.1,12.52,34.86,7931721,141306,30.97,107319,22.79,20364,79,3,5.03
4201,POINT (104.543650 -4.368386),5.02,68.96,102169,5.0,25.76,529273,461705,78.08,86.92,42.23,89.92,12674003,1939,83.7,898349,26.73,21520,27,2,89.64
4202,POINT (138.039800 -2.220357),40.57,36.93,204941,5.86,37.27,218369,550782,94.56,82.6,47.61,91.94,1697709,923266,30.01,74935,19.02,23814,57,0,9.05
4203,POINT (121.559826 -1.765798),68.88,96.81,732154,73.79,97.98,262019,618679,88.87,39.51,36.75,75.22,3700625,518626,39.84,817306,93.24,7730,65,3,35.45
4204,POINT (114.511406 1.201248),7.96,73.15,135891,80.81,20.48,63249,655943,62.03,51.01,19.58,33.39,12920384,656507,90.56,39946,59.5,3071,49,4,37.35
4205,POINT (111.527878 0.438600),39.96,35.81,214225,67.89,96.19,615088,536455,34.95,83.97,1.23,6.96,4083200,687549,59.69,263774,44.03,1335,49,5,9.84
4206,POINT (133.759917 -2.909027),78.04,25.38,467032,79.79,21.48,492384,229571,64.33,68.72,68.86,84.11,2143429,497126,98.76,518867,13.23,22480,56,5,23.15
4207,POINT (111.363861 -1.006349),48.21,24.02,547292,62.75,34.56,397042,488872,63.02,19.11,49.19,8.89,3023511,597961,72.89,176808,52.07,23280,24,1,87.55
4208,POINT (140.970008 -6.123548),70.01,34.97,352263,94.06,10.86,835280,706942,50.22,27.64,58.65,91.06,5089126,68272,97.97,156212,20.9,1044,77,1,82.05
4209,POINT (101.754978 -3.266508),68.28,93.59,561988,60.26,42.54,935150,883875,3.82,27.79,32.4,92.06,1659590,570079,76.22,957069,0.38,5196,27,0,98.12
4210,POINT (137.704958 -1.744418),81.95,68.53,875917,86.15,49.32,373695,128635,55.99,30.6,7.65,20.05,7847363,665932,67.42,632181,34.53,3947,70,4,8.24
4211,POINT (110.176162 0.784501),76.6,82.24,904073,70.39,50.88,843375,539441,53.08,21.18,29.82,67.7,10153360,164940,50.46,765919,51.51,20649,42,5,8.48
4212,POINT (128.433698 1.451774),99.47,55.51,467571,80.49,62.61,716336,977547,64.93,10.22,50.48,36.01,12054944,771471,37.34,389585,99.66,5112,22,3,87.05
4213,POINT (113.078599 0.190749),97.87,8.92,755240,23.9,88.1,632144,375917,60.57,63.21,47.45,28.95,11055924,474964,96.8,268672,71.12,23741,45,5,22.08
4214,POINT (99.374568 2.236580),97.34,96.67,216885,17.59,20.45,442751,262884,17.54,22.86,94.13,40.25,1525025,802659,77.99,993703,16.47,21722,51,1,77.04
4215,POINT (128.497459 -3.266462),53.04,17.06,66787,5.36,50.58,354064,635312,76.85,43.54,37.78,31.47,9678058,451256,21.09,11619,30.04,22963,34,4,64.79
4216,POINT (116.062871 2.059732),87.94,5.71,700920,25.4,73.44,818829,585646,16.76,40.3,36.19,40.52,14274475,453794,54.3,857236,88.44,22597,62,0,88.36
4217,POINT (134.464314 -3.559886),15.22,26.48,645532,36.61,50.08,634614,67466,80.38,12.61,55.71,80.79,5406832,657701,24.15,284365,96.75,8817,72,4,52.36
4218,POINT (116.033403 -3.011220),37.75,52.44,301820,61.03,86.56,900395,739451,95.81,21.83,63.46,32.64,13697894,587660,70.17,450626,66.66,9926,40,0,89.26
4219,POINT (121.483929 -2.299387),51.61,11.32,175040,76.79,89.01,643388,54706,47.34,11.35,31.91,85.27,13490811,928545,55.84,386757,90.3,18625,53,0,52.26
4220,POINT (109.374191 -0.344094),55.35,88.77,167542,98.8,89.65,968559,171251,95.3,77.2,88.04,37.66,1556227,122114,2.21,639386,33.98,18668,23,4,21.28
4221,POINT (109.234410 0.509526),36.72,33.97,789767,3.9,25.22,433068,543212,73.54,1.77,14.77,23.48,4821061,844940,56.8,937745,45.48,3277,43,4,7.25
4222,POINT (98.910300 1.782645),67.13,76.99,815289,81.26,13.29,324049,517813,32.01,31.63,26.75,27.51,5309996,416709,71.14,539354,97.87,21536,72,3,49.58
4223,POINT (115.397852 -3.275504),21.81,23.03,117621,16.99,72.85,40914,937524,10.27,76.4,33.68,31.27,1585559,148431,79.89,296996,67.44,5360,54,3,46.36
4224,POINT (104.534793 -1.764328),96.55,81.01,131910,19.29,50.03,55879,554367,54.01,5.87,46.31,78.3,14174690,151843,96.08,865216,15.05,7101,75,0,16.33
4225,POINT (122.643142 -4.394880),22.55,97.21,54682,47.94,84.31,280516,415955,4.15,67.35,92.18,41.67,4313066,874325,39.42,428260,30.01,10848,42,2,57.22
4226,POINT (97.708999 4.880742),72.18,15.02,599155,84.13,23.75,482712,194085,11.77,12.04,22.27,91.68,9342842,491412,58.85,170756,12.89,4089,74,0,12.77
4227,POINT (111.643403 0.665407),99.71,74.73,64746,73.04,87.79,101183,181246,78.92,73.7,30.39,11.0,10639962,345144,84.54,868144,70.14,6006,21,4,83.7
4228,POINT (132.333517 -1.090485),60.42,85.72,837641,51.99,52.98,826698,460040,57.79,98.19,49.62,17.48,5414948,913983,28.96,486257,74.34,14831,53,0,45.9
4229,POINT (105.186605 -3.297820),28.6,54.61,776544,97.66,78.13,575106,661579,34.15,36.11,62.23,54.34,5797978,882886,38.48,39106,8.98,16503,66,0,99.83
4230,POINT (137.807142 -1.573176),28.49,68.58,700077,90.04,49.54,346529,51439,27.55,63.09,18.19,15.4,9293574,593128,77.25,671013,17.61,16322,77,2,6.63
4231,POINT (116.349100 3.730718),32.58,24.73,699684,48.42,8.63,229423,308716,87.69,16.75,85.77,40.47,7502104,980441,74.98,813021,63.52,15404,63,1,38.76
4232,POINT (126.935346 -3.602099),93.46,14.22,958378,37.35,64.49,710232,414042,42.27,18.99,53.01,80.1,2929271,323140,9.32,360910,28.51,3767,32,0,14.23
4233,POINT (110.550217 -0.168379),98.86,31.66,450464,8.67,19.32,546280,488238,33.35,49.51,16.89,28.95,4288876,797298,96.96,447323,79.94,18249,39,5,26.04
4234,POINT (117.291495 -0.423281),77.27,73.75,750231,56.64,23.68,375268,372877,58.44,59.56,13.69,51.34,13672840,885139,73.58,358553,83.41,5167,45,1,88.64
4235,POINT (103.938379 -3.281760),42.56,10.03,116068,64.72,33.4,412262,224959,74.82,79.88,35.17,17.37,2141160,175706,63.84,126281,70.74,3660,31,3,43.14
4236,POINT (118.974523 -2.760331),7.4,84.48,741454,30.7,22.5,262250,412599,86.15,28.63,10.08,54.57,1984672,509137,85.22,64275,69.38,6992,72,3,63.12
4237,POINT (107.026135 -7.066714),36.27,1.18,901903,92.32,34.66,558291,223567,42.5,63.67,42.12,81.02,1397013,989284,51.2,505025,91.22,10129,42,3,82.01
4238,POINT (117.990400 -8.739546),7.49,51.01,548684,61.48,46.18,160105,793661,24.05,27.63,75.55,75.46,10667593,715899,4.21,703403,6.57,16468,27,1,82.03
4239,POINT (138.226848 -5.108100),88.02,11.39,62989,53.87,97.2,545180,9355,16.81,89.01,63.67,45.13,4066088,483725,73.33,874339,59.74,22842,42,3,34.89
4240,POINT (103.981242 -2.054895),66.25,81.21,242852,36.18,88.43,856730,492727,41.53,77.17,58.19,53.84,5881447,334879,48.7,203165,38.67,1369,62,1,24.76
4241,POINT (116.594279 0.591008),17.79,85.87,691555,39.78,50.55,814702,660754,96.04,52.17,47.33,23.03,1480920,766039,62.37,893303,51.72,1736,65,3,86.12
4242,POINT (116.831245 4.185286),91.93,63.52,595286,98.57,31.0,979160,907474,87.24,98.94,35.94,27.91,7279953,877871,84.96,574897,74.95,13439,62,2,81.34
4243,POINT (114.508468 -0.830695),62.64,74.11,212341,52.52,50.84,553121,458872,13.32,37.31,23.92,32.77,10402332,859929,42.76,899484,25.18,1542,53,1,21.6
4244,POINT (108.974458 1.076717),98.95,55.55,710745,73.57,59.91,621008,725717,46.62,97.32,1.31,40.84,7386402,43833,46.94,939480,24.61,23333,71,1,16.03
4245,POINT (138.831089 -7.572201),55.78,44.78,768386,44.62,8.45,512870,854845,19.9,9.36,61.62,97.31,10669208,294824,56.74,379778,61.88,9145,63,0,71.22
4246,POINT (102.785661 -0.305119),11.24,47.56,724060,70.23,18.19,867006,307196,88.74,93.16,37.2,38.36,13937286,219615,64.12,861816,23.88,6377,42,3,46.18
4247,POINT (108.400371 -7.653770),58.78,32.29,54717,80.31,77.6,551642,968044,68.83,74.36,45.12,58.13,9941912,298253,81.71,237719,60.06,17482,22,0,90.2
4248,POINT (104.122235 -3.839715),72.8,51.96,272838,15.99,18.71,734888,883809,96.94,24.77,83.98,52.31,4495176,275687,97.79,90002,37.33,14661,45,1,6.85
4249,POINT (139.529881 -2.240711),50.73,11.14,580833,74.23,74.01,273258,833732,98.97,49.12,57.51,73.97,13599346,693355,47.81,542337,45.95,17365,45,5,52.1
4250,POINT (109.407631 -0.470954),39.26,93.63,795279,48.08,91.25,130785,585236,89.03,67.45,82.69,13.19,9400528,25344,12.45,910779,8.61,23568,25,0,20.65
4251,POINT (134.467186 -6.246901),25.02,38.93,864617,63.67,82.69,839932,337182,48.79,73.21,97.92,79.54,5824632,631729,33.09,884651,70.37,23251,55,5,34.11
4252,POINT (122.598861 -5.120125),95.09,62.67,584729,99.12,41.26,189298,745412,50.98,29.08,59.83,48.81,3319689,105343,85.36,906690,65.77,24663,28,1,91.91
4253,POINT (121.181246 -3.444209),51.3,87.39,590797,60.61,87.58,535575,839158,82.46,11.26,43.64,11.81,2131883,86800,1.28,481729,55.03,8357,73,4,37.18
4254,POINT (116.456549 1.524804),1.96,94.52,371135,5.84,67.97,4953,698653,76.45,93.88,41.37,67.69,6992293,763508,73.1,29558,6.88,8610,60,3,89.17
4255,POINT (140.873183 -4.083409),14.21,43.89,150949,37.98,45.41,642103,258315,6.98,33.72,39.36,32.32,6346880,788632,66.57,980739,91.26,16102,64,0,34.7
4256,POINT (102.491296 -3.443412),19.34,67.53,562673,84.27,45.32,780201,671064,20.98,78.65,83.55,59.23,9114294,580744,83.62,864417,47.37,15148,77,0,33.63
4257,POINT (117.119373 0.782046),63.17,64.35,915918,7.37,39.17,512279,617533,99.27,89.89,75.82,82.63,10546998,776396,71.85,984234,64.11,1201,48,0,43.29
4258,POINT (98.881495 2.907598),71.09,54.33,384550,72.17,71.08,836484,86182,62.3,8.08,14.07,70.22,1665706,410099,19.74,649149,38.99,17836,31,4,50.42
4259,POINT (133.406769 -1.344284),80.53,25.35,670980,31.03,71.15,220604,30566,75.63,70.63,83.91,42.01,10672799,673193,72.74,411632,72.76,14984,52,4,66.54
4260,POINT (111.818107 -7.289356),80.27,54.25,748582,48.33,79.47,351211,634670,63.81,61.5,73.59,92.34,9411428,948888,72.85,926296,27.09,11553,35,4,74.8
4261,POINT (140.830837 -8.591637),33.87,84.02,917068,77.53,65.06,700829,540064,25.34,64.04,36.53,27.34,8553726,497389,34.44,682271,8.41,4734,24,2,82.72
4262,POINT (119.987455 -1.932160),65.57,89.21,113730,0.47,3.69,657191,736589,30.74,0.65,72.05,33.62,11259726,37520,8.92,760631,5.74,19165,45,3,52.9
4263,POINT (116.453536 0.569612),94.06,32.97,28031,7.23,78.96,191997,91273,98.35,36.42,24.8,19.44,11480495,594206,74.59,75540,24.77,2638,61,1,69.53
4264,POINT (102.449339 -4.044608),10.14,65.36,575908,96.88,5.53,575080,976630,22.21,58.04,0.78,72.62,1002958,74709,11.53,108919,98.87,12115,32,2,0.44
4265,POINT (115.177177 1.409981),11.25,78.29,223544,93.07,40.84,163762,409073,38.03,99.76,54.16,86.54,2161615,860908,35.44,488684,60.21,19931,33,1,19.18
4266,POINT (116.921803 2.059293),37.07,19.89,582019,92.43,49.73,594401,269031,26.33,40.53,61.2,48.92,12455683,145141,28.55,724506,47.45,2426,59,4,93.94
4267,POINT (107.997482 -7.432471),83.09,6.19,974468,81.32,11.26,750630,675400,50.73,61.57,83.4,66.73,3931778,521924,95.96,92835,57.0,7305,62,1,71.69
4268,POINT (98.568789 3.186334),78.27,51.67,555223,26.38,36.7,810047,825142,61.58,71.1,88.71,51.5,3720085,821424,89.97,170511,88.16,20843,69,1,46.99
4269,POINT (138.111189 -8.320796),60.12,56.3,536890,91.56,31.98,271298,814139,97.32,50.0,38.05,38.12,10144799,986417,50.48,847247,63.31,4806,22,3,69.12
4270,POINT (101.138417 -2.563556),58.37,17.11,638727,62.81,4.56,813638,314078,88.05,6.68,42.83,13.8,2724778,981842,37.1,339423,9.76,7543,22,4,67.33
4271,POINT (108.163831 -6.814943),93.62,9.61,133535,8.78,53.53,133414,883226,80.16,10.76,76.48,89.18,7376495,719279,88.12,34775,14.46,11564,48,5,80.63
4272,POINT (111.165677 -6.857930),80.75,81.22,228991,4.67,64.55,507086,206936,58.89,53.57,15.07,43.23,7298368,435468,71.13,462378,42.03,1430,54,5,50.03
4273,POINT (132.584366 -2.966258),98.32,17.67,140632,76.84,40.34,805208,733866,51.68,88.07,53.09,0.76,6241323,519387,18.85,223392,52.77,12583,52,4,41.16
4274,POINT (101.037820 2.006978),65.5,24.28,28959,8.59,45.18,260537,970777,36.52,48.22,48.66,47.65,1593551,180528,50.55,614174,59.04,1667,21,2,12.18
4275,POINT (139.037521 -2.913449),43.32,35.59,405322,61.85,13.75,483737,587707,16.78,33.68,23.6,65.28,11015466,698327,77.96,318452,42.18,6603,78,4,98.1
4276,POINT (108.126047 -7.317688),52.64,49.82,676776,66.87,1.71,584275,694949,44.15,97.22,96.29,73.46,12743033,171500,99.73,312493,91.86,3163,23,3,77.98
4277,POINT (137.520880 -2.700822),45.45,79.47,545602,59.91,49.69,156830,175046,56.36,52.08,3.35,76.87,5966429,875735,25.76,229623,39.89,15272,66,3,77.91
4278,POINT (113.220865 -0.165497),4.84,54.14,955675,22.37,19.35,531610,948886,16.16,29.6,94.99,4.22,7881502,148408,23.11,342115,54.62,19777,70,2,81.44
4279,POINT (111.864173 -0.156026),91.99,78.45,157633,40.64,16.32,121464,916344,44.81,40.52,44.33,84.76,4347586,134852,12.0,868488,35.57,9336,53,0,32.99
4280,POINT (136.025466 -4.516825),58.36,46.72,243008,9.44,41.04,387117,360769,62.41,40.38,78.69,95.02,11115916,33690,10.89,969441,9.05,20881,23,5,45.3
4281,POINT (119.402191 -2.380040),4.34,86.47,673520,32.42,41.24,77047,269807,35.63,98.27,4.85,37.55,14680594,496165,54.18,734851,44.79,14194,40,2,56.83
4282,POINT (115.176186 -3.439547),63.66,92.69,9709,20.63,41.75,606706,272326,62.05,52.95,32.64,59.54,10850450,85614,6.01,700010,88.07,17365,39,1,29.67
4283,POINT (114.773622 -0.272972),61.32,23.12,122968,11.98,18.0,120861,310346,30.34,69.65,89.1,20.39,9980404,566230,66.05,738132,85.4,18305,43,3,78.46
4284,POINT (112.016389 -0.957896),81.58,42.2,174891,66.11,30.4,688341,230852,86.84,45.19,48.84,20.11,5481859,975996,72.53,124917,72.97,4658,22,0,9.78
4285,POINT (101.911069 -1.645658),47.76,3.51,375723,8.27,19.81,988203,730625,36.82,74.35,57.08,0.51,8267227,610045,86.6,432163,79.49,18546,24,1,36.59
4286,POINT (104.975406 -2.451296),70.61,24.76,915137,3.01,54.51,804617,934332,67.81,50.59,28.72,8.01,10528650,50019,36.06,928266,94.38,10345,80,5,5.64
4287,POINT (136.837279 -3.348851),68.9,29.38,789672,31.58,38.12,645045,658612,5.62,92.82,30.63,37.72,5961193,954257,21.58,210883,66.25,20390,74,4,73.99
4288,POINT (138.415552 -7.634702),48.68,31.37,328724,10.98,43.19,708316,62815,80.0,70.91,52.93,6.84,11568644,729985,85.73,274990,53.24,14075,50,5,6.19
4289,POINT (106.178122 -2.634642),4.06,91.89,108618,46.79,66.26,206732,881932,22.0,73.46,30.5,61.12,4107850,59360,34.63,644083,51.62,17944,69,1,81.79
4290,POINT (140.156410 -2.360127),81.76,36.44,863326,81.48,75.37,208133,760608,57.93,42.13,66.27,64.66,8637597,689366,42.63,710170,94.54,8957,32,0,90.83
4291,POINT (133.786926 -3.610692),33.61,43.34,512464,93.05,53.75,999210,866736,77.36,85.55,36.98,77.44,10428301,563407,17.6,255526,39.84,20714,29,0,79.21
4292,POINT (112.735247 -0.544538),33.7,82.79,199214,16.58,37.51,460826,427331,10.32,50.71,48.87,70.26,13757260,421675,62.89,421199,75.33,22549,48,1,88.62
4293,POINT (140.122252 -7.569844),99.6,51.37,331193,1.46,4.27,413788,767717,27.29,69.97,5.04,66.97,14488064,906779,43.89,88728,97.45,16358,72,1,46.13
4294,POINT (140.686229 -8.791219),33.89,7.9,800749,5.84,65.81,964638,930983,99.5,47.2,70.7,51.18,7432367,371612,28.62,81094,3.27,17707,24,0,1.37
4295,POINT (137.377020 -4.150489),71.87,54.67,789027,37.92,37.96,548980,265349,21.81,3.06,91.38,21.96,9477720,884580,18.64,319115,40.93,22610,30,3,62.69
4296,POINT (96.108809 4.354337),87.39,10.82,402744,46.55,49.31,199939,94951,19.45,7.52,78.56,88.25,1223207,11245,5.24,364254,40.08,2503,77,5,81.5
4297,POINT (113.917194 -7.777653),61.47,67.32,596206,84.88,2.67,224767,516636,61.4,46.99,37.89,72.43,1151287,548358,69.7,631700,35.23,10497,38,2,17.21
4298,POINT (98.284974 2.435813),93.61,40.61,297818,44.17,70.98,325837,535802,28.87,83.79,64.83,35.8,14593243,581777,91.75,812824,28.53,20403,29,0,10.92
4299,POINT (101.549616 1.810478),4.99,75.29,645815,76.07,22.68,947337,14746,0.64,21.01,0.54,0.28,8993025,127265,98.06,186630,14.36,5511,53,2,12.84
4300,POINT (101.129928 0.769623),25.15,30.93,100444,96.66,37.81,493638,787168,56.38,45.87,20.39,33.32,13076945,253650,49.14,387488,0.45,22276,54,4,87.3
4301,POINT (104.623538 -2.218918),2.62,84.46,842655,50.59,56.34,170068,983549,15.68,66.2,43.42,38.26,14986009,746235,56.36,118764,9.94,23571,49,4,1.34
4302,POINT (103.217792 -0.297575),26.59,72.27,917287,25.23,82.3,801753,743868,59.3,96.01,30.0,3.79,2701927,774320,89.24,430576,45.77,23815,37,2,97.45
4303,POINT (104.603652 -3.940614),21.84,65.36,336843,32.05,10.0,351855,602535,87.56,50.03,35.51,50.73,11635257,692076,50.4,811525,93.98,7980,73,1,88.46
4304,POINT (137.659995 -1.980781),8.24,12.91,473749,86.7,54.46,121374,689875,38.35,43.29,43.06,92.54,6791751,52608,3.97,876291,60.45,18770,22,1,57.52
4305,POINT (100.600042 -0.940247),24.9,61.85,963193,48.17,21.86,872873,385717,57.67,71.63,7.65,72.29,5631156,385103,43.68,864622,51.61,10829,21,2,85.34
4306,POINT (108.333196 -6.844356),12.26,23.95,279826,58.43,28.03,403795,274699,82.53,47.8,6.98,47.32,10921160,164694,97.06,733140,88.29,5740,73,2,84.03
4307,POINT (110.799652 -0.155271),19.31,98.43,997912,11.39,25.47,926062,962257,48.7,3.44,24.1,97.87,11675301,880990,57.12,449289,53.82,7994,44,4,24.98
4308,POINT (104.859344 -0.185137),74.39,54.15,963398,54.46,63.46,45317,426065,89.5,14.79,76.24,47.33,1556303,10784,48.82,58717,16.28,12852,79,3,25.0
4309,POINT (117.203711 0.933146),71.36,83.5,230459,60.82,90.45,835225,878994,34.66,58.46,11.87,37.37,14919934,783831,68.19,698657,14.14,1125,50,5,60.32
4310,POINT (103.747259 -1.368848),68.15,99.88,89336,16.39,16.16,424819,663363,93.43,29.33,52.22,43.02,12155257,86241,97.09,410012,37.46,17887,49,3,5.59
4311,POINT (112.424960 1.015021),35.11,39.02,771837,55.26,22.06,851081,627400,22.45,64.5,5.11,8.89,3716003,132168,7.99,675271,28.84,24238,45,5,44.08
4312,POINT (116.565241 2.973305),53.6,42.11,391054,78.97,19.12,611541,77950,31.1,45.96,50.92,14.22,9346413,278992,98.68,639974,81.91,1289,26,2,26.65
4313,POINT (135.680671 -3.699390),93.81,79.97,57593,78.12,17.26,833388,369281,53.11,71.42,46.43,30.86,2214479,542682,76.1,516080,39.76,16663,68,0,19.62
4314,POINT (140.947980 -5.078901),25.12,39.61,331429,90.5,65.02,916413,295115,41.13,87.61,48.02,17.5,14909232,248158,91.62,521620,11.48,7698,55,4,98.28
4315,POINT (103.634934 -0.284801),51.36,64.95,887120,19.36,32.19,458583,712079,52.85,48.55,10.2,14.03,6449880,558468,93.75,331233,4.67,13241,65,4,78.04
4316,POINT (139.586519 -5.118605),0.12,70.46,424345,74.4,52.69,993319,192472,77.01,78.98,42.79,23.71,5695548,274754,85.44,866530,2.59,1122,43,2,93.74
