id,geom,Health Facilities,Electricity Access,School Enrollment,Literacy Rate,Income per Capita,Death Rate,Population,Migration,Mortality,Average Age,Households,Registered Residents,Water Access,Birth Rate,Unemployment Rate,Internet Access,Employment Rate,Vehicle Ownership,Family Identity Card,People Density
4887,POINT (107.400993 11.367192),534207,21.45,53.2,60.11,2072845,75.44,912077,64.33,29.16,72,455418,524774,4.94,49.76,7.28,9.45,42.67,3,106045,14600
4888,POINT (105.186954 18.765782),449971,94.65,2.78,70.47,6331896,88.48,406389,36.47,0.81,38,30512,853695,79.22,89.2,26.59,76.76,5.21,2,785730,8017
4889,POINT (105.123320 20.848040),602872,32.99,26.37,83.4,4986027,67.47,883896,36.08,2.56,62,51697,194857,81.27,94.02,46.16,19.31,45.5,3,671809,14422
4890,POINT (105.600827 18.738111),692597,30.64,21.9,87.37,11484584,4.76,909288,72.54,28.27,55,444356,652941,53.62,9.09,54.47,46.57,49.01,3,604102,18700
4891,POINT (105.619889 22.202301),250967,76.42,23.37,90.86,2386751,86.7,547362,41.02,25.96,27,867613,361444,10.38,29.3,19.66,16.86,73.18,1,350849,20542
4892,POINT (107.614033 15.485050),566639,48.76,59.76,7.84,6663979,1.33,211912,76.45,4.82,65,387613,883524,37.47,92.61,23.0,1.25,80.25,3,16085,15127
4893,POINT (105.595966 19.611808),840334,65.36,55.98,2.18,8489058,30.67,486904,34.57,19.83,43,882026,763646,86.96,39.57,73.88,4.72,9.48,3,793371,5895
4894,POINT (104.893917 22.820937),359504,6.99,49.5,91.0,8672409,35.14,608741,93.99,94.36,51,571434,678927,0.99,25.09,8.04,30.27,21.86,2,364071,22388
4895,POINT (106.586373 21.172049),976018,62.65,73.92,17.97,3025900,14.74,652563,72.83,25.81,76,360813,289276,5.77,45.51,17.13,31.2,63.29,2,311820,15383
4896,POINT (107.633542 11.375072),40150,20.82,41.17,30.02,11882438,85.96,288093,61.59,28.09,20,249598,993820,9.27,29.22,74.02,6.53,35.35,0,127172,21703
4897,POINT (103.341421 22.202918),329416,2.08,92.38,77.77,13712242,87.45,875381,27.59,58.79,67,181159,57556,97.12,50.53,80.56,30.73,69.03,5,368260,4054
4898,POINT (106.923197 21.716687),370367,61.87,76.82,58.66,13224756,62.13,693811,94.17,47.74,43,153988,492063,30.96,9.17,65.45,87.77,73.28,0,626131,20193
4899,POINT (107.244546 16.479949),16610,59.33,98.03,16.87,2482371,68.96,730457,15.22,57.77,73,359150,623873,22.45,87.6,27.32,37.78,27.17,2,384096,12258
4900,POINT (105.127361 21.455667),204011,72.29,98.9,83.46,13168495,35.82,460584,76.72,44.36,31,136067,802216,37.52,12.32,0.85,14.13,64.83,1,76617,16032
4901,POINT (107.815512 21.560644),678822,41.8,60.64,35.43,7889403,42.58,163110,33.36,59.75,32,285317,743729,83.52,0.64,3.5,35.4,30.51,0,288083,13411
4902,POINT (103.691180 21.014766),130709,14.26,47.78,48.41,11865397,57.37,792567,38.36,62.73,57,771217,740140,39.83,17.15,29.4,72.99,66.2,2,929498,13147
4903,POINT (109.260186 12.430584),846222,35.34,0.83,0.56,8363429,76.54,605122,79.87,36.73,66,424300,667357,32.9,90.55,3.88,7.04,27.16,1,946773,14677
4904,POINT (103.118859 21.543733),514818,73.98,91.96,15.76,14901721,24.38,580244,91.48,39.94,75,60461,185238,36.74,12.32,28.7,9.21,87.97,3,666683,14975
4905,POINT (106.124537 18.170341),664866,53.46,69.21,34.72,1617960,22.37,814984,80.3,12.72,78,346800,974329,78.33,15.76,61.33,47.8,3.56,5,932715,3459
4906,POINT (106.396768 21.668527),417284,73.85,46.55,37.8,9102076,83.89,993386,54.54,46.49,57,307904,257843,24.34,80.92,71.78,48.29,35.44,4,832480,24006
4907,POINT (107.922763 16.213504),465777,14.01,64.74,47.38,8363788,49.49,785044,89.97,27.71,41,795171,117833,90.08,51.98,64.45,60.16,28.5,5,635545,7780
4908,POINT (103.869585 22.081420),951507,62.99,30.58,0.5,4025344,50.59,341822,88.41,90.38,47,15911,182312,90.76,44.83,35.7,37.8,45.81,1,673823,4528
4909,POINT (107.535032 12.066394),397456,12.53,76.0,4.56,2602343,86.03,422828,16.14,35.87,62,182407,389715,97.79,83.65,99.34,18.49,87.66,3,560583,5867
4910,POINT (105.798953 10.619981),250052,2.21,79.01,15.97,12778649,97.03,153209,33.17,39.5,38,279503,390499,81.45,16.37,38.35,69.24,47.57,2,792518,14736
4911,POINT (108.772688 14.038159),232606,88.23,30.44,0.69,9419857,70.66,294628,74.8,46.07,33,176884,512424,64.09,27.57,29.27,74.57,59.61,0,301789,24733
4912,POINT (104.722442 20.736256),580891,23.68,19.1,69.5,3783484,82.07,505292,39.57,66.58,21,609058,225564,5.94,75.3,4.25,40.51,78.7,1,338485,15130
4913,POINT (104.940975 20.270646),304422,37.27,51.41,36.92,2901917,27.28,934431,69.48,16.23,45,103846,548335,29.48,71.29,7.98,57.09,21.04,2,921723,12236
4914,POINT (105.932393 19.838641),67387,69.72,98.69,32.51,4462321,30.8,995910,83.01,74.67,72,717289,405670,49.96,16.84,12.07,26.44,83.42,2,434452,22216
4915,POINT (108.736283 14.425920),503563,14.08,64.48,35.72,5336658,53.86,928470,63.94,38.85,24,374763,861355,20.03,22.68,8.72,97.11,13.54,5,302613,20939
4916,POINT (105.483298 22.556407),208438,38.0,8.34,75.48,12346044,56.98,912756,45.98,26.35,27,12865,638980,93.67,16.12,22.71,74.15,12.49,5,480724,22511
4917,POINT (105.846694 10.381471),670556,9.37,49.46,11.29,11121623,33.58,401609,37.87,47.49,41,997847,662450,31.75,8.77,17.01,94.71,39.07,2,334777,13106
4918,POINT (106.086032 11.464064),167689,90.54,43.24,29.47,13970570,56.64,962394,83.17,2.78,46,982471,901726,63.74,37.54,79.69,41.05,19.74,3,984965,12145
4919,POINT (106.289934 21.814832),520525,34.79,59.58,29.96,12895555,99.68,32485,69.66,77.78,32,334885,650499,58.57,25.24,2.83,39.51,29.42,5,337242,14601
4920,POINT (103.700216 21.531441),177028,87.32,2.39,69.17,13958504,99.84,393319,25.23,27.59,31,661176,263224,93.68,25.8,75.49,90.91,0.47,2,689684,4647
4921,POINT (107.750908 11.876675),301676,31.9,81.87,43.22,12392352,82.93,56106,32.02,53.9,35,265622,750022,98.71,8.5,98.87,75.41,22.89,5,381091,12549
4922,POINT (108.766716 12.285415),800567,11.78,64.65,16.06,10225208,90.89,976999,39.03,52.06,42,571782,894762,87.76,31.55,6.12,75.71,33.76,3,436509,24664
4923,POINT (107.675870 15.106935),595833,4.87,88.01,76.51,9698626,48.09,117293,64.9,11.24,60,446316,245709,81.9,45.27,91.21,78.37,27.18,4,410899,2531
4924,POINT (105.685038 22.233711),884224,74.39,92.32,35.16,11315550,77.76,885584,72.52,32.48,78,617030,69914,22.18,25.31,90.55,57.89,7.07,5,180956,2747
4925,POINT (106.037964 21.064619),79821,50.08,22.89,29.09,9596925,66.04,225593,44.86,6.57,60,645986,756956,35.84,26.27,4.03,54.74,33.41,1,121927,6765
4926,POINT (105.692900 18.057902),835247,49.0,55.32,54.82,14860475,68.93,18473,88.56,77.08,78,534423,708731,25.37,14.74,93.37,31.32,73.79,2,229239,21703
4927,POINT (106.863107 21.076419),874271,16.23,36.75,58.8,1703655,83.88,568725,51.73,27.91,61,996936,236337,90.56,57.99,96.13,62.73,93.32,2,190804,5007
4928,POINT (104.791894 22.787829),702497,17.12,64.62,68.99,1396303,23.23,758141,43.43,84.32,52,421967,797781,84.8,67.78,41.82,55.84,20.27,3,746114,14171
4929,POINT (105.635747 18.203071),698177,80.06,94.97,35.17,3442517,20.87,615202,53.7,24.35,68,244948,381227,9.74,35.69,40.12,68.26,65.76,5,447231,4246
4930,POINT (107.389414 12.138624),359573,86.38,77.04,21.34,13008067,97.98,935743,49.55,20.94,64,832607,374477,95.99,6.9,20.84,61.87,62.07,4,125234,7571
4931,POINT (108.709460 15.038029),971113,34.75,79.72,95.51,5982028,48.64,362491,74.35,61.06,34,767182,481429,35.75,26.1,65.02,76.64,80.73,5,477279,24467
4932,POINT (105.334264 20.492709),708659,81.0,89.08,34.21,14895458,34.7,914548,69.18,33.79,70,199094,744474,36.26,81.41,32.13,16.43,35.47,0,239369,7090
4933,POINT (105.972768 17.758489),439593,4.24,46.29,58.29,14695021,77.51,840170,60.05,37.67,39,555769,717086,61.02,24.14,43.7,16.64,50.93,2,712575,13405
4934,POINT (106.495130 21.897422),218848,81.86,7.57,52.76,1129118,80.65,25621,91.85,74.29,64,313617,287649,55.3,29.66,19.87,44.83,89.76,1,144269,5005
4935,POINT (107.533383 16.357242),798644,68.32,46.75,96.04,13832017,55.99,821435,55.81,9.75,39,502243,619803,70.13,42.37,81.27,64.71,15.48,0,910991,12906
4936,POINT (107.785838 13.737504),1010,90.54,17.98,32.53,1599469,84.79,106314,63.73,99.9,66,932395,663160,74.83,73.41,48.07,95.53,19.71,2,34137,5562
4937,POINT (108.594602 11.505880),359576,3.92,68.02,0.59,13753274,51.28,870279,6.18,62.68,22,113350,124156,70.94,6.7,5.09,68.43,62.66,1,306124,3737
4938,POINT (104.534051 10.331496),692484,1.03,20.27,91.98,4736063,59.78,816209,50.87,11.19,73,782236,855425,60.88,26.76,82.35,81.53,30.17,0,98676,1514
4939,POINT (107.667536 13.013063),417879,99.82,16.88,13.32,9489630,13.27,424191,2.75,75.7,30,598607,207886,1.62,84.9,74.55,20.39,36.39,2,313416,15593
4940,POINT (105.013820 20.432516),708604,3.16,82.69,81.85,3284614,86.69,211656,26.46,30.65,38,522323,625875,56.43,25.9,94.01,33.6,70.64,0,693899,12847
4941,POINT (106.683395 17.279970),358910,67.54,80.91,19.06,8339661,33.89,173507,52.76,9.06,77,973215,276599,36.41,59.6,86.55,61.52,68.19,5,599778,20523
4942,POINT (108.488085 11.202447),422112,7.15,57.83,99.33,8246818,44.61,180660,44.55,78.36,71,743800,798585,81.59,49.79,28.51,78.76,7.14,0,445853,15050
4943,POINT (105.136206 9.451046),773299,23.91,59.25,42.01,13228222,76.98,352824,21.17,28.14,41,81102,591822,82.03,90.11,69.25,74.85,97.63,0,304067,7163
4944,POINT (104.071203 22.290548),554003,83.5,24.49,59.89,12673064,52.82,874388,68.95,0.69,44,862717,139332,55.67,64.16,21.02,10.37,31.05,2,59331,1354
4945,POINT (106.408632 9.758479),209941,25.37,45.99,17.23,1087105,37.75,91107,0.14,79.38,37,522968,687501,31.67,25.73,15.77,82.43,60.16,3,46828,15278
4946,POINT (105.707557 21.527250),465286,91.61,25.21,59.3,2700529,7.76,585364,16.27,53.75,30,557907,867585,61.43,14.61,48.02,90.44,53.85,3,274991,7582
4947,POINT (104.021380 21.397807),337718,89.34,58.6,11.4,1558175,43.44,652235,19.13,56.86,72,981780,940702,17.08,69.37,89.25,52.81,95.39,4,161656,4728
4948,POINT (107.121050 11.289290),606772,40.11,76.07,86.93,11210294,51.55,414701,16.79,13.45,60,863871,252499,80.36,20.35,50.85,42.16,23.78,5,616175,4339
4949,POINT (108.458649 12.632713),742217,57.52,26.8,81.25,1927060,50.97,873001,34.24,88.77,72,553964,305007,50.74,47.33,45.91,86.17,25.86,2,462315,18444
4950,POINT (108.598941 15.289368),797482,36.44,21.38,7.5,1167857,17.02,833002,82.83,92.29,80,35332,400994,28.4,63.38,86.45,76.31,68.37,5,86017,1589
4951,POINT (108.090049 14.935612),316492,47.09,58.32,58.52,1838972,24.07,218929,39.9,28.04,56,149283,903835,46.76,63.37,22.83,53.5,98.63,1,235517,13538
4952,POINT (105.232894 9.934907),353359,28.3,13.61,44.9,9390328,42.69,51709,28.38,13.36,31,132995,237430,92.93,94.62,67.61,47.75,68.05,4,739653,15218
4953,POINT (106.540789 16.892301),523639,65.21,69.8,73.68,1692036,86.14,284325,60.16,53.35,47,134947,810232,20.25,46.23,9.63,25.15,12.52,1,546850,23434
4954,POINT (102.575042 22.325653),467829,64.18,26.18,64.06,14984319,94.84,785826,47.29,23.53,25,86521,3360,21.43,34.11,99.6,6.75,33.99,4,945784,21155
4955,POINT (107.679193 12.624982),472298,93.41,90.31,88.51,4743969,94.22,139930,7.98,75.21,53,426218,919146,19.45,79.23,24.47,64.13,58.29,4,106224,11583
4956,POINT (103.509412 21.114019),932469,67.49,5.41,77.08,13403885,93.38,790772,33.33,36.52,51,920611,920004,55.5,29.3,47.06,54.08,65.75,1,433726,11239
4957,POINT (105.187430 21.681137),454598,94.27,47.33,14.64,10300048,95.75,337374,50.23,43.55,51,79219,147875,80.84,82.37,5.23,29.49,53.2,3,120432,8579
4958,POINT (107.849938 12.183052),217997,72.45,58.2,7.0,2186441,73.62,717947,72.39,59.79,64,907843,323469,55.26,55.91,20.37,48.68,53.72,3,560342,14354
4959,POINT (106.621390 10.948960),861349,17.03,84.15,51.5,12629362,5.1,450366,64.75,42.04,51,664044,316601,48.73,88.42,47.67,74.94,19.97,5,214545,11187
4960,POINT (103.564225 21.756830),228100,88.14,45.01,75.79,9988975,6.11,381330,86.61,68.75,55,413827,558847,61.93,15.14,94.99,1.99,65.91,4,332877,17647
4961,POINT (105.897796 20.071304),417827,76.54,2.86,72.22,2258380,59.59,891986,2.96,15.8,77,538457,95890,94.26,22.85,96.85,42.74,22.5,3,593689,2565
4962,POINT (105.801035 18.550285),955268,59.47,34.89,1.49,4434217,11.62,710737,64.5,70.95,57,157565,232943,45.35,59.54,67.74,56.52,93.98,3,893492,20872
4963,POINT (106.960067 10.755848),575140,13.66,24.74,68.99,4472309,11.77,495073,76.76,26.15,75,242442,305531,56.68,30.6,29.83,77.12,39.44,0,216236,21774
4964,POINT (108.057938 12.577612),572447,69.2,96.02,3.86,6799711,12.3,863594,58.32,81.56,60,528577,685672,77.09,9.66,55.3,16.79,85.51,3,514355,4044
4965,POINT (102.966197 22.165156),792273,6.18,73.45,61.64,11304509,88.13,349813,42.08,96.05,43,772947,398648,22.73,55.8,28.16,47.36,24.65,1,707839,1516
4966,POINT (102.502830 22.552563),19935,51.75,98.25,51.27,12009173,57.78,37119,5.83,98.6,77,922290,861909,45.32,52.1,2.92,67.21,27.91,5,926814,4411
4967,POINT (107.667136 16.310479),832997,4.92,81.14,11.63,9248421,53.28,67216,15.76,68.21,58,479863,981635,29.55,75.69,43.27,43.5,7.97,0,939482,4157
4968,POINT (105.725425 21.439573),386485,8.43,27.31,77.99,6784295,74.8,127171,70.83,66.27,76,2450,91268,55.97,96.9,32.8,24.36,16.92,1,952592,1797
4969,POINT (108.185683 13.739696),21547,60.58,4.42,16.63,2464942,49.1,53526,40.49,0.23,70,371154,126805,48.03,9.15,60.59,99.55,16.21,2,16510,5020
4970,POINT (105.383414 21.864922),298792,60.99,88.92,5.93,4358799,75.31,755126,22.56,10.37,69,938347,871310,77.3,24.63,24.59,31.65,44.15,4,509233,10942
4971,POINT (109.181867 12.990359),740715,38.09,19.86,66.97,13744911,56.42,623749,41.29,94.29,59,520628,944005,90.7,97.67,44.28,14.16,4.42,0,181694,23293
4972,POINT (106.512728 21.302846),498742,35.85,92.47,38.11,11354528,48.98,239439,84.34,48.2,35,190016,122258,27.18,3.68,1.88,43.5,23.12,2,441851,5205
4973,POINT (106.812712 11.922432),335266,51.96,45.95,14.41,10640278,39.68,922653,21.91,47.65,79,299133,322455,24.09,32.02,74.62,33.6,16.45,1,586395,2555
4974,POINT (107.792860 13.636326),230359,79.52,91.65,99.26,4260511,34.4,750287,61.6,26.98,59,168454,365637,60.97,20.81,21.14,37.65,15.22,0,670769,23588
4975,POINT (106.303422 22.408710),193602,22.5,3.01,2.38,12248653,80.84,352860,89.66,58.09,44,45847,836138,29.55,35.29,26.74,89.54,42.85,0,245505,18442
4976,POINT (106.488255 21.329337),568421,89.13,21.87,75.75,9761499,67.95,810146,94.89,67.66,56,856738,738022,19.48,44.2,54.08,50.7,85.31,3,347912,13593
4977,POINT (108.417349 13.165007),846666,22.61,53.55,75.73,4935386,59.05,32074,12.68,42.51,40,442934,58380,46.69,16.14,63.21,76.41,77.14,3,770658,21021
4978,POINT (103.040768 22.036284),172871,25.89,75.44,25.96,14749351,43.94,466316,88.93,18.99,60,505340,895101,75.31,50.32,60.15,63.51,64.74,0,142657,22949
4979,POINT (105.572707 22.050441),342543,78.15,26.15,81.55,5856154,16.97,11530,49.66,15.54,80,33628,849362,46.39,84.28,97.92,45.61,79.15,5,35144,19864
4980,POINT (105.383143 20.580650),532956,29.54,59.09,17.73,5485677,67.67,789900,22.92,97.31,31,214837,799516,52.4,45.66,62.7,35.37,77.89,4,521903,18500
4981,POINT (108.089399 15.374068),818483,34.66,56.36,60.02,13422225,22.54,569171,50.34,34.76,35,850090,325632,58.82,96.24,34.52,15.87,9.18,3,300403,4948
4982,POINT (108.226292 13.184001),437057,94.94,67.91,6.74,1934370,22.36,773782,92.54,63.37,32,711791,827473,82.96,52.88,77.48,85.92,45.37,3,125431,21223
4983,POINT (108.462462 12.825534),382186,7.21,59.21,36.51,6774610,21.54,875349,79.24,67.04,58,74764,744488,96.8,39.04,41.77,31.2,89.87,1,102206,1629
4984,POINT (109.305923 13.042162),875925,13.9,24.48,16.83,11112784,63.03,74431,55.34,76.3,59,201478,624982,87.42,4.26,81.83,96.54,75.08,1,815009,5600
4985,POINT (106.120910 10.714017),358945,9.46,96.05,55.85,6347042,84.8,339039,52.73,32.05,35,804571,660835,25.43,4.82,50.98,7.7,6.77,0,828451,13663
4986,POINT (106.572920 21.193392),532976,67.4,9.5,64.6,5787091,35.75,463878,55.09,87.9,20,498987,751365,35.87,78.88,50.95,32.42,61.13,5,898722,8562
4987,POINT (105.613237 22.499187),964291,27.86,13.39,51.52,5040841,66.48,773057,32.67,32.97,41,546452,77523,82.03,48.69,41.14,93.23,39.81,0,177178,1442
4988,POINT (106.429608 21.926856),501291,57.86,63.26,84.78,10365984,31.5,409093,77.98,81.17,44,707825,200694,12.57,85.52,63.23,88.38,8.62,3,181570,23241
4989,POINT (105.533715 19.064888),974640,68.07,13.37,16.42,8316531,82.88,266327,73.54,2.72,73,703990,422479,21.45,64.23,15.14,86.29,98.89,2,397891,12414
4990,POINT (106.010220 22.329089),250441,77.21,28.19,96.37,6674334,58.64,385333,23.75,46.22,61,846870,570616,60.53,36.71,8.13,10.44,62.58,2,780259,14357
4991,POINT (106.143694 22.911996),154719,82.08,69.77,4.03,12517510,46.38,164419,14.83,1.6,20,725880,808933,51.8,49.26,55.27,62.55,64.58,4,556182,23673
4992,POINT (105.003549 20.947405),300911,40.03,54.32,45.4,4661806,80.18,840561,50.01,11.86,29,444352,330787,72.93,96.5,93.63,18.27,54.75,1,113402,22356
4993,POINT (106.956789 11.185870),78052,44.0,6.39,63.59,3529880,49.03,884100,10.11,77.18,59,29997,151904,84.76,70.55,72.15,37.72,47.3,1,541061,11846
4994,POINT (105.322811 18.191638),151762,31.35,18.03,91.9,8509156,2.19,292427,60.55,52.7,59,867197,792999,89.29,98.7,8.74,72.56,41.63,4,740902,20355
4995,POINT (106.254998 20.683894),271075,69.17,47.04,97.17,7886197,50.87,918939,66.23,42.99,23,730580,380057,93.83,80.5,15.58,41.55,8.68,0,199600,19142
4996,POINT (106.339112 21.516141),175059,34.14,51.19,35.67,8209344,62.35,569304,89.07,68.91,77,838577,314010,86.23,82.67,14.39,29.38,0.23,0,120138,24141
4997,POINT (103.722980 22.108536),863416,22.18,90.3,75.9,10130433,64.2,715104,46.14,64.92,39,743243,579418,72.54,94.37,99.09,81.05,73.82,5,723658,6732
4998,POINT (107.427053 11.564065),818479,56.95,46.24,83.41,8448605,69.04,561246,67.95,83.29,45,330939,624642,42.05,98.31,71.97,77.81,27.02,2,251839,24396
4999,POINT (109.175138 13.016389),700007,11.99,31.44,90.23,1914684,97.43,274731,9.44,99.02,58,370346,461144,5.69,44.78,55.18,98.45,15.45,5,14653,20806
5000,POINT (107.196150 11.356647),215089,21.23,76.86,11.23,12139652,7.62,915120,8.6,36.11,71,28218,628434,69.63,27.04,9.91,59.49,86.07,3,860584,5730
5001,POINT (109.008326 11.693256),231214,73.52,27.52,49.55,2371709,40.62,857172,63.14,17.1,34,623785,384676,8.2,8.0,96.68,42.02,49.72,1,759078,10159
5002,POINT (103.837418 21.228186),243133,41.73,0.69,98.53,6486748,39.84,45275,38.39,47.17,70,161586,857467,44.37,86.49,23.45,29.33,95.76,3,810555,14447
5003,POINT (108.265040 15.935527),986994,96.67,96.63,12.53,10098684,34.69,635404,66.96,51.61,25,375304,12715,71.49,21.17,43.71,91.06,35.66,2,897757,12190
5004,POINT (106.105439 22.140777),770515,6.92,67.1,34.69,9222991,38.94,603496,61.32,54.02,42,479808,522989,0.2,64.34,84.02,29.15,71.88,1,605918,5650
5005,POINT (108.961047 14.388587),480820,18.0,95.89,36.0,9624654,85.24,855603,75.83,34.59,45,761511,107305,7.28,15.21,98.78,45.88,2.9,4,166977,4368
5006,POINT (107.470750 10.859624),975141,3.65,68.09,52.51,7373378,12.84,731495,64.69,48.23,42,819647,515411,81.05,30.23,93.13,51.41,81.82,3,88574,9832
5007,POINT (106.583507 17.503189),47358,37.26,56.5,13.69,14424151,54.83,556561,96.46,83.53,34,279280,330541,57.17,68.99,96.75,26.2,5.81,3,396138,21169
5008,POINT (105.299960 21.961764),383543,40.79,98.61,11.56,4167998,17.72,533324,78.48,51.53,44,483544,191227,45.66,50.92,65.52,19.52,12.26,2,35350,18564
5009,POINT (107.359681 21.593881),291170,3.98,45.62,51.67,2437683,3.79,796607,14.28,68.45,58,320071,861100,3.55,47.67,41.94,71.17,81.22,5,101469,20475
5010,POINT (105.651291 18.081610),974865,83.96,64.97,12.67,11720755,83.1,793071,20.71,16.8,38,450092,203776,40.17,70.32,89.42,62.86,73.66,4,44964,7584
5011,POINT (107.296398 11.509173),132427,65.51,21.96,17.12,6509919,30.18,168858,95.44,59.42,42,838382,459436,27.14,72.9,17.13,46.88,56.25,5,648802,5868
5012,POINT (108.478352 11.083111),735405,8.81,81.91,98.7,11640450,90.02,495847,25.97,85.48,43,231905,561641,1.41,1.32,38.53,83.29,85.54,2,922054,21122
5013,POINT (108.756883 14.373813),29180,67.29,49.77,26.87,3282199,38.5,410766,5.01,79.72,65,729017,989481,29.9,64.09,55.4,47.41,9.1,3,261826,21103
5014,POINT (108.213817 15.885730),727150,52.25,92.28,60.8,6767040,22.14,173710,12.43,91.28,60,558817,732242,29.65,12.33,53.69,81.83,26.24,3,19338,11907
5015,POINT (105.940207 22.424052),189105,47.66,27.23,20.77,2836704,20.14,227877,3.62,70.45,69,393542,733264,86.67,39.27,79.15,66.49,24.86,4,708083,20538
5016,POINT (108.236298 14.399735),637389,94.42,51.17,84.44,11347097,22.42,948347,47.24,42.57,79,637256,835983,42.33,89.59,19.06,26.09,22.81,1,171907,24486
5017,POINT (108.395604 12.918744),286756,39.09,58.51,45.58,5461304,89.44,240491,42.83,75.04,21,362389,825833,15.66,30.8,8.75,32.53,40.63,4,303481,8286
5018,POINT (108.878067 14.702897),36349,59.08,80.37,12.21,14827102,6.15,532602,7.71,23.11,72,119042,516455,79.28,68.11,48.89,63.63,94.93,4,439020,17385
5019,POINT (107.966375 14.328943),328394,24.09,5.0,55.23,11079471,1.34,714702,70.33,78.97,33,708696,415530,46.27,82.83,14.69,26.94,14.56,5,531212,8718
5020,POINT (108.678354 12.188715),77183,69.03,6.88,21.7,4200610,2.67,152105,63.25,11.88,50,559344,678677,79.87,87.93,23.76,32.29,50.25,5,714342,22831
5021,POINT (107.689424 12.190954),746451,11.7,50.74,13.81,8572466,64.59,957136,3.43,87.78,66,271391,685155,62.14,77.61,22.15,37.9,54.07,0,216290,23898
5022,POINT (105.654664 20.007242),180044,24.8,68.31,16.82,3448201,50.15,481646,98.06,92.29,43,620498,864654,70.88,49.41,42.95,39.29,11.14,0,595011,4771
5023,POINT (102.425769 22.147632),700527,69.76,63.15,67.38,3614194,93.88,454741,51.83,83.42,46,633667,839451,83.36,53.7,4.86,63.62,93.67,1,465713,7796
5024,POINT (104.277446 19.105124),915671,86.13,23.0,63.16,6537213,23.81,802157,80.38,60.97,71,944714,582674,70.19,86.91,47.47,8.14,29.28,3,741213,8223
5025,POINT (108.600475 14.839430),742419,45.4,18.46,78.22,10830306,93.38,823211,12.54,56.95,30,738678,142873,8.82,66.25,59.58,12.61,64.37,4,5249,9360
5026,POINT (105.914776 18.272528),991125,90.9,80.26,67.33,11253159,56.05,393934,66.17,5.61,58,988881,571885,72.26,69.97,54.44,42.97,55.96,4,135732,9092
5027,POINT (108.610444 12.785265),141421,65.41,11.21,81.66,3375998,5.03,828222,79.5,76.97,20,531559,626763,65.75,29.19,52.07,47.46,67.04,0,455917,11027
5028,POINT (104.906485 22.465507),396580,97.67,43.76,19.95,5398835,6.24,881396,74.55,84.71,42,482248,581412,83.4,53.95,44.5,99.87,75.87,4,432100,3980
5029,POINT (108.268665 15.031616),509939,94.27,70.92,85.64,9258189,74.69,744259,87.03,68.5,46,39416,141196,73.26,49.62,60.23,62.29,51.63,5,864637,8926
5030,POINT (105.424737 22.489781),546943,12.25,69.04,94.13,11420447,62.74,948461,61.03,96.69,27,652265,288337,37.09,17.31,83.54,61.07,3.07,5,699637,6777
5031,POINT (107.909042 14.245578),696632,50.4,84.28,62.06,3958746,50.27,260320,22.36,68.5,27,131853,658580,42.38,44.25,75.36,54.11,65.5,4,267472,3608
5032,POINT (104.303504 21.877743),695178,67.58,22.09,92.44,2194583,72.5,395206,34.45,12.82,20,588530,817949,36.6,28.14,43.53,71.01,31.97,5,416304,23776
5033,POINT (105.539799 10.764789),442280,86.42,98.11,10.77,14409445,12.73,843538,91.49,64.55,78,285983,14899,64.99,31.51,11.44,89.56,76.13,3,945733,7860
5034,POINT (108.686191 13.222457),780768,69.63,4.25,55.3,12355515,73.41,730022,80.27,80.07,42,719049,900397,47.76,98.87,93.55,64.59,15.63,4,91396,14552
5035,POINT (107.064031 21.466523),221647,37.66,15.1,67.35,8652135,68.31,326159,3.28,45.29,35,305822,329308,34.7,18.1,28.54,61.2,71.41,3,632786,9004
5036,POINT (102.210151 22.306674),102231,99.57,85.12,87.07,14280171,50.74,727565,70.98,89.1,72,730342,952741,81.27,27.8,69.38,55.19,3.83,1,210284,20829
5037,POINT (105.002758 19.947078),917762,72.72,45.0,83.24,11242755,86.16,46698,84.29,20.14,25,651331,497131,1.22,63.57,73.15,64.95,48.71,2,18302,24443
5038,POINT (107.318914 12.221866),278423,94.97,78.14,46.15,2127297,45.32,402606,99.12,49.08,46,651984,460860,23.4,92.26,94.82,74.12,1.49,3,106192,10561
5039,POINT (106.030676 22.310613),183871,13.4,81.95,94.4,3829670,83.28,838751,16.74,79.57,50,845269,103670,99.44,82.73,27.08,25.39,4.93,1,930345,8732
5040,POINT (105.249528 23.042073),105319,3.64,61.22,31.31,14103380,19.86,888716,49.55,53.78,62,878010,739382,16.16,21.95,2.18,42.9,83.83,3,923583,24048
5041,POINT (107.213710 10.937063),229873,4.98,16.14,79.26,14087536,28.59,601761,94.0,76.01,33,41984,169279,50.94,98.72,86.41,99.32,59.77,2,266082,8536
5042,POINT (104.656364 20.561567),560193,20.13,13.4,68.97,4539078,37.24,833222,58.92,6.83,63,949412,849751,99.06,27.62,76.08,71.98,53.96,1,791488,23785
5043,POINT (105.676973 10.119227),752610,66.1,94.1,84.16,3590901,32.04,564744,74.19,86.32,46,310789,800861,20.98,50.55,97.47,51.39,73.58,0,512008,14590
5044,POINT (108.942445 14.514632),140146,42.59,63.45,72.79,10725367,47.49,149617,73.45,19.43,72,961671,262858,76.83,62.26,91.45,43.77,80.28,3,996794,15059
5045,POINT (106.182039 10.573796),441314,37.98,43.93,88.57,6829350,86.38,712098,41.14,57.88,54,898406,586357,90.69,31.81,27.62,41.88,99.74,4,848779,8360
