id,geom,People Density,Unemployment Rate,Population,Water Access,Households,Average Age,Vehicle Ownership,Health Facilities,Literacy Rate,Mortality,Electricity Access,Birth Rate,Death Rate,Internet Access,Migration,Employment Rate,Income per Capita,Family Identity Card,Registered Residents,School Enrollment
2382,POINT (140.809935 40.281172),21519,79.24,129310,34.68,455675,35,2,272038,50.9,60.59,71.01,87.85,13.99,87.98,59.64,66.46,7380518,296662,120446,35.02
2383,POINT (138.304079 36.214547),21737,45.27,673022,29.94,339463,39,5,542698,64.35,27.69,58.39,51.2,55.08,63.9,63.46,12.12,10715099,605015,322820,66.99
2384,POINT (137.503875 36.274830),9336,43.41,926143,19.04,291840,68,0,891157,15.17,71.07,90.87,77.25,49.4,64.4,84.19,60.63,7250007,485925,934320,9.4
2385,POINT (127.675228 26.115058),21794,93.19,815806,23.6,136254,30,1,860359,76.33,68.28,86.28,96.77,28.54,62.65,46.81,84.94,1371209,93288,474150,23.8
2386,POINT (139.492472 38.315478),2049,63.28,491662,61.75,23528,80,2,338060,6.81,31.68,36.99,36.86,4.64,37.68,48.84,63.48,1295284,105997,853332,91.2
2387,POINT (135.940147 35.242035),14193,58.44,726208,56.15,223637,27,4,109249,94.68,8.95,35.06,26.11,17.96,4.06,59.67,30.63,10031704,421481,90591,50.92
2388,POINT (138.528074 35.686887),10083,83.61,839293,80.3,975609,38,1,352517,15.17,100.0,87.14,69.46,41.66,91.57,98.52,98.79,7689985,660705,240189,14.0
2389,POINT (133.093700 33.920650),13053,10.8,771053,7.71,636387,55,4,550390,85.17,47.04,94.37,97.06,94.17,48.65,9.01,7.67,14188980,161487,4882,97.22
2390,POINT (132.438700 33.392998),2240,90.78,347636,66.19,939087,60,1,531775,80.57,36.7,64.44,38.52,89.06,15.37,95.25,64.52,1531620,525348,656007,98.73
2391,POINT (139.845575 36.960869),17479,4.08,304047,63.02,979570,45,5,222239,82.31,54.1,74.52,23.57,26.88,43.96,52.17,27.84,2084072,639048,832432,67.99
2392,POINT (139.073770 37.717374),10846,34.98,236666,15.82,697197,46,2,890172,16.03,62.47,27.75,59.54,35.56,65.21,91.06,42.95,7685303,771558,958547,25.88
2393,POINT (136.400796 35.062365),17015,27.71,149766,78.61,906582,74,2,331958,56.89,34.0,72.96,14.43,77.47,59.29,75.92,13.66,4689904,386120,504385,64.11
2394,POINT (136.509365 34.959772),13870,49.02,36470,77.41,880368,34,3,24669,76.49,79.79,23.86,82.15,70.23,49.44,1.83,44.44,8701078,71460,861704,66.05
2395,POINT (130.954732 32.497255),9581,75.21,513844,67.43,514391,55,0,715589,32.4,80.88,40.47,94.08,55.9,50.27,36.99,47.97,6479250,175851,319965,46.82
2396,POINT (142.535832 44.510962),10006,51.91,735597,62.2,537289,77,0,618327,75.93,30.64,81.46,90.98,91.59,11.16,81.39,87.34,9071363,438627,319163,36.39
2397,POINT (133.540383 34.846577),8306,11.14,67154,33.56,773969,63,4,559805,33.64,86.49,64.3,51.23,8.89,29.06,65.57,2.59,11321719,501349,803239,47.08
2398,POINT (140.228919 42.014293),19661,60.36,333536,47.56,814683,34,4,545243,98.19,97.97,18.69,6.12,42.13,20.09,77.45,78.49,6112039,235989,268460,47.16
2399,POINT (129.713592 33.059782),20402,39.81,685678,71.64,319374,39,5,485338,94.93,7.57,5.11,5.35,7.36,56.07,63.92,29.93,9692755,637264,397740,27.91
2400,POINT (137.617439 35.096200),5762,34.03,764367,48.75,402496,71,1,618237,2.63,51.86,47.48,26.16,49.27,19.93,83.95,8.86,4519078,16302,643875,66.78
2401,POINT (141.843800 42.653660),7455,84.91,241901,54.06,831628,42,1,555894,51.24,78.99,63.57,79.29,77.38,2.92,71.22,37.34,14955618,664185,973902,86.8
2402,POINT (134.444426 35.180349),15296,40.9,580977,89.25,56992,71,2,930310,71.04,58.43,62.42,34.15,77.99,32.97,60.08,59.65,10006252,466394,811933,60.18
2403,POINT (140.488866 36.921220),24129,74.63,686804,12.84,855905,34,4,266646,83.92,40.16,95.35,13.99,20.7,7.94,4.52,28.18,9512414,723836,485098,85.82
2404,POINT (138.485888 35.085975),19110,3.23,955599,87.23,173592,38,1,129236,43.01,1.54,44.85,62.38,47.05,82.02,10.18,3.95,7003392,438014,378242,40.32
2405,POINT (140.461198 41.032119),4289,53.15,300725,65.39,254895,57,0,954374,96.58,90.57,7.81,62.63,38.78,10.8,26.1,18.42,5230003,860755,990454,67.54
2406,POINT (143.152657 42.098324),10726,26.76,417376,15.94,130400,50,5,882602,30.19,84.2,63.32,60.34,16.43,71.8,14.29,41.85,7788447,631543,508212,31.97
2407,POINT (141.777417 39.533020),4103,42.24,302296,77.24,885719,47,3,325903,73.53,99.83,55.28,85.74,56.45,48.28,76.37,34.9,9915382,890106,489171,13.29
2408,POINT (140.036566 39.013194),21032,28.02,686920,38.81,122740,67,2,353002,24.51,11.42,85.82,92.28,30.91,71.1,15.02,93.51,5269721,516609,458826,6.74
2409,POINT (134.650179 35.405313),20823,87.5,681884,45.42,465402,51,1,411159,5.75,23.2,6.97,63.13,77.62,66.78,25.37,12.71,3009831,455352,805788,87.16
2410,POINT (133.345243 33.854977),22999,84.64,326742,85.95,252256,75,2,303029,44.1,85.3,44.12,77.3,50.43,53.02,17.52,85.88,9076811,820529,258174,7.53
2411,POINT (140.724145 39.836238),17398,25.29,314688,13.64,153697,53,2,670696,49.42,74.54,92.16,94.6,50.98,92.57,94.99,48.95,6341020,200220,882580,59.98
2412,POINT (135.486964 33.689061),4660,47.64,235826,68.35,142454,46,2,824784,55.79,79.21,15.6,48.52,58.78,41.22,50.52,47.61,7109236,44319,767405,1.96
2413,POINT (144.558598 43.231229),19489,60.1,201254,27.3,220469,70,2,224640,37.35,44.36,64.91,93.76,95.94,34.35,63.92,28.11,6999662,256995,791929,96.02
2414,POINT (131.635947 32.979931),7027,56.13,225611,95.9,742290,61,1,218538,32.05,13.93,99.32,56.23,62.36,68.02,50.75,35.11,13096912,281630,229066,0.5
2415,POINT (131.010439 30.634121),13192,38.81,741858,25.37,688213,61,3,133770,64.58,9.22,56.11,9.24,27.23,89.89,25.98,49.31,13560744,787814,351345,44.63
2416,POINT (138.500825 36.797231),18633,8.05,142710,90.77,335645,74,0,872990,52.59,69.37,4.52,56.55,67.98,11.11,16.38,20.19,8974848,339323,220625,54.77
2417,POINT (137.111034 37.443849),15426,81.48,415032,97.53,880194,47,3,316765,26.46,13.59,20.82,69.68,87.96,52.22,23.11,10.7,5458820,519552,288723,79.0
2418,POINT (143.643483 43.556097),12911,2.71,756036,21.07,482052,67,3,279284,95.8,63.69,77.43,54.88,79.35,16.64,76.72,90.81,5674795,590557,160222,75.86
2419,POINT (144.883547 43.482195),20219,45.75,430323,81.22,140773,41,5,952821,22.11,1.35,69.09,87.67,6.41,81.53,45.09,55.2,3510272,640795,873663,54.0
2420,POINT (140.860577 37.768889),24476,70.53,723976,51.37,846828,60,1,412079,13.55,70.4,33.93,49.8,7.06,6.59,56.55,83.0,1772920,127239,627645,0.8
2421,POINT (140.287696 37.980915),17745,44.15,608292,92.62,282980,24,1,13181,97.17,77.44,27.22,46.97,34.62,23.79,77.82,9.42,4846069,450673,327713,91.9
2422,POINT (144.814330 43.296861),8673,31.46,262896,99.5,843336,43,4,780774,56.98,5.04,30.61,84.04,36.21,1.48,19.66,2.68,11443974,280001,334785,4.36
2423,POINT (143.073583 42.295129),20402,63.67,186382,10.67,122656,26,4,600771,75.07,3.2,67.16,97.49,22.61,43.13,24.59,68.81,4478748,30010,598007,16.28
2424,POINT (138.847814 35.258701),2829,55.42,7500,95.09,985427,45,5,19961,61.58,39.15,53.77,35.9,32.91,40.33,66.03,52.12,3110966,104005,618091,54.94
2425,POINT (142.478821 43.238205),16183,44.83,532991,6.2,60122,54,5,219842,46.99,29.42,32.23,26.34,76.55,92.77,61.33,82.08,1286322,159639,628272,7.13
2426,POINT (132.925947 34.253665),9330,60.75,576212,5.98,821907,44,3,49785,95.29,74.03,67.38,93.07,52.96,90.48,28.26,78.43,12399347,366119,82359,10.02
2427,POINT (143.502296 43.715795),24066,9.97,87327,94.85,820239,50,0,683000,56.3,40.83,33.49,35.65,24.79,63.82,46.67,40.72,7738923,709395,136721,8.61
2428,POINT (130.869693 33.211073),16265,98.64,434806,23.38,449541,38,1,33126,31.5,26.41,30.78,54.77,52.68,80.97,60.21,64.07,4613196,431808,798861,82.55
2429,POINT (142.986410 42.963046),8401,97.13,183554,79.25,981471,64,3,670560,36.68,54.45,60.16,66.62,76.42,85.51,28.1,14.52,5178498,521560,619958,96.67
2430,POINT (143.901952 42.970028),21814,17.65,783927,6.44,478935,65,4,931886,59.23,57.99,62.12,20.34,72.53,12.66,30.86,96.43,7543095,996874,158546,2.57
2431,POINT (133.012725 35.227526),21457,42.92,988145,7.57,803377,21,3,572213,31.79,40.57,62.68,97.91,41.3,30.08,56.94,80.9,14390408,397237,447029,12.55
2432,POINT (140.119971 40.586389),19888,27.21,663670,20.93,342167,27,0,371522,33.65,78.64,63.94,30.19,63.63,87.29,43.12,10.27,3386096,252666,115991,56.93
2433,POINT (137.252608 36.481452),16194,91.63,826187,31.21,968546,61,1,550249,98.17,84.66,69.03,31.58,28.12,95.94,68.78,0.76,12815336,112455,531254,6.77
2434,POINT (134.520921 34.153689),21478,51.07,527339,26.27,457601,21,0,261223,97.28,52.36,47.35,5.73,36.04,43.98,15.65,82.66,11825791,454976,380524,4.43
2435,POINT (140.552029 39.947904),12509,41.88,466389,60.43,92135,65,3,558378,8.32,18.67,34.78,40.09,72.46,80.05,35.73,94.27,5881086,130615,186758,36.02
2436,POINT (138.720423 35.856254),16466,46.73,852133,18.2,163995,53,2,581208,65.58,42.21,54.01,35.07,46.49,18.28,85.41,12.33,1211259,369859,505176,85.6
2437,POINT (139.226834 35.917263),18155,52.69,119101,66.27,316920,75,3,565315,79.47,73.66,54.55,52.33,52.94,97.94,47.85,78.88,2450445,777725,118178,19.51
2438,POINT (127.673767 26.122057),18831,48.87,838891,72.77,797693,72,4,470963,90.3,23.14,38.12,58.04,32.02,39.11,36.03,54.91,14855305,684843,143054,86.85
2439,POINT (140.109928 36.739958),22999,93.69,245278,93.59,415317,69,5,585356,87.22,49.12,63.85,82.49,88.6,27.48,10.1,49.09,6429591,399688,536520,63.74
2440,POINT (144.514429 42.988758),24018,25.64,24770,15.49,861649,70,1,833437,46.86,75.64,33.75,93.71,21.07,18.05,19.22,19.08,13965418,171326,446337,71.47
2441,POINT (136.246072 34.047584),6191,23.23,341731,5.8,877678,41,1,668848,63.52,52.17,58.95,10.06,83.33,39.21,18.75,14.25,13964848,2838,708965,95.11
2442,POINT (131.026995 32.839828),21389,78.48,190347,61.18,905665,55,5,744695,6.35,89.41,65.66,54.25,77.42,49.91,72.5,54.85,14938399,478795,273385,90.82
2443,POINT (138.094091 35.377487),14235,47.27,906970,69.05,152188,29,2,989985,5.39,29.51,26.21,38.33,65.98,41.39,0.86,60.9,8595677,2271,549412,96.53
2444,POINT (135.216161 35.326169),22217,92.91,951231,69.21,324718,53,2,226886,54.59,15.79,62.81,70.79,44.55,70.74,32.45,73.62,9828769,728230,915231,9.63
2445,POINT (133.370966 33.612860),23915,98.89,401050,0.07,486679,68,1,470605,11.56,32.54,50.85,7.44,90.54,19.57,75.83,53.45,1866333,279310,430680,69.84
2446,POINT (135.240287 33.854525),13681,3.08,542892,48.64,443739,66,5,907764,29.23,74.12,19.08,32.74,25.85,22.58,27.67,78.59,11727519,212812,600558,33.58
2447,POINT (142.975197 43.393300),6727,31.41,208334,58.92,320942,51,0,986672,51.92,43.36,41.09,5.36,85.59,58.54,89.5,11.97,6857380,119336,344800,11.47
2448,POINT (138.421185 34.994519),11762,64.25,885040,42.29,38184,53,4,458225,19.79,17.44,80.49,49.35,36.13,47.28,28.14,35.87,1774565,898451,786750,80.83
2449,POINT (142.608714 43.056824),3665,85.44,543483,11.73,115051,59,1,666616,58.61,38.27,43.82,91.65,16.68,75.05,77.87,49.41,1443850,617732,731446,24.45
2450,POINT (144.013895 43.724261),20117,40.32,332044,57.59,622072,61,5,710870,99.36,88.75,73.1,55.56,32.38,12.03,72.11,44.61,7838790,286103,861810,17.19
2451,POINT (138.805134 35.857727),23851,62.04,25231,46.1,179627,51,0,815194,89.32,21.45,91.57,39.79,57.06,11.66,62.72,21.37,12444426,198084,470965,11.94
2452,POINT (144.380551 43.526651),6677,29.67,435514,70.44,896301,30,4,984690,60.96,77.64,50.41,98.85,27.9,46.13,68.08,70.13,11005531,603951,249549,27.23
2453,POINT (129.954176 33.003653),17318,0.16,983538,73.79,261085,45,1,553088,23.46,29.49,73.04,38.24,61.62,70.51,49.73,71.39,9382006,224245,945299,77.33
2454,POINT (130.337711 32.000886),21068,29.91,126840,54.98,400739,23,2,499136,57.43,47.04,30.99,30.43,71.01,67.83,5.13,47.92,7294738,217604,797793,20.73
2455,POINT (140.891437 42.925331),15032,23.77,587526,86.81,956629,21,5,993156,98.29,59.08,32.59,91.93,69.77,86.41,61.13,36.42,11329555,78628,531890,46.45
2456,POINT (141.875113 44.369328),8027,7.83,281291,95.18,888378,32,4,182200,95.97,46.43,70.69,63.04,49.0,71.96,89.11,17.67,3893484,62422,486742,60.3
2457,POINT (139.346517 35.458756),18905,74.35,459704,6.97,526570,41,4,359599,43.76,59.46,94.32,24.41,28.18,91.25,62.79,25.96,10629881,755984,175867,99.55
2458,POINT (134.365004 35.285875),13853,28.68,103610,79.21,215893,31,2,843963,0.14,50.31,3.62,47.49,67.84,62.87,81.48,78.35,14816194,704958,297470,82.09
2459,POINT (132.712448 33.525538),9874,38.19,865813,28.33,722418,76,0,736568,4.12,9.74,56.12,10.75,87.8,62.33,74.06,10.77,14647910,432552,17513,92.4
2460,POINT (139.958941 36.416364),20605,49.52,273398,94.4,692084,75,1,254577,83.4,51.56,73.36,2.57,41.12,47.87,41.52,72.0,13715233,528353,37053,7.11
2461,POINT (139.578661 37.149836),21944,26.73,253276,35.81,926860,67,5,14472,21.27,50.91,80.7,75.32,8.16,46.75,40.07,4.21,1876132,688707,695207,89.53
2462,POINT (141.712367 43.597718),17767,37.92,103131,21.19,330565,75,4,755650,32.95,72.9,86.79,44.34,19.68,19.43,89.5,81.44,6561061,414815,865046,91.28
2463,POINT (139.038831 36.553167),6483,57.98,770678,54.03,59235,67,0,797182,86.64,93.61,58.83,38.8,43.92,5.63,13.01,70.29,5690859,815287,180988,83.3
2464,POINT (140.344797 37.083672),20223,90.72,309962,97.07,390591,28,3,676358,33.01,5.29,16.48,37.58,50.67,33.5,86.65,55.7,7902534,40725,99113,4.25
2465,POINT (139.773309 37.499220),20230,83.5,23772,9.22,270649,24,2,27853,66.14,68.5,86.81,36.54,27.94,45.56,3.93,39.22,4789900,166884,776451,24.78
2466,POINT (136.717925 36.350355),14439,78.96,55531,71.84,433719,48,4,775889,3.43,30.48,62.38,4.15,8.84,2.63,25.17,16.23,6562814,979384,485008,62.79
2467,POINT (136.044701 35.945837),12860,59.22,239217,9.78,36929,21,3,213788,99.5,50.87,28.37,66.2,97.43,40.45,19.27,48.46,9092391,693944,857395,20.67
2468,POINT (139.939111 38.295701),21001,45.06,112623,14.32,557670,27,3,456835,45.04,72.83,51.12,1.13,24.11,19.44,21.8,8.34,9801171,672001,772830,11.73
2469,POINT (130.140593 33.461668),3222,53.49,795004,25.42,336544,20,0,713613,80.21,6.46,94.01,21.91,79.7,57.61,67.37,65.65,9493538,896865,175231,11.71
2470,POINT (136.966827 37.140425),13419,14.99,550837,13.11,590873,78,5,218094,38.87,89.03,51.51,97.08,95.79,57.92,8.53,74.16,3151321,226695,425525,29.94
2471,POINT (137.340247 35.706888),10605,79.77,639221,11.13,11842,77,5,586632,40.76,28.53,7.71,34.53,25.3,34.23,17.15,26.09,14584233,807288,793592,90.87
2472,POINT (133.191071 35.483509),1697,42.98,197437,1.92,51470,76,1,170888,16.68,10.67,1.4,19.37,53.93,1.31,1.99,71.14,2236127,393718,594931,83.41
2473,POINT (138.161838 36.653733),18531,17.31,956025,36.08,570715,68,2,651888,87.62,64.22,78.91,29.41,50.82,30.82,27.98,56.56,3005210,898347,769835,84.06
2474,POINT (133.710793 34.048247),18013,96.43,338676,52.64,393846,39,5,162956,55.07,70.22,86.91,83.39,27.55,53.92,16.37,29.65,13092569,50018,538847,53.07
2475,POINT (137.305816 35.187047),21771,33.07,825479,46.46,792576,59,5,162478,32.31,70.75,69.55,42.32,96.32,99.63,33.87,17.63,10893580,49831,55153,91.27
2476,POINT (133.109394 34.313373),11561,8.27,786375,77.76,390967,78,0,480548,38.83,55.2,51.57,49.44,88.72,93.02,38.59,9.87,5737776,619010,304565,57.99
2477,POINT (140.373791 35.918710),18869,5.2,951144,35.61,30909,29,3,761026,9.5,32.29,56.7,87.72,14.83,32.52,24.88,65.03,8781736,506298,501543,58.36
2478,POINT (133.116274 35.466930),1784,46.43,736061,35.43,122403,26,3,683159,56.96,69.89,6.24,11.35,22.05,55.61,80.71,13.96,13455611,340710,262693,39.37
2479,POINT (139.540306 36.150295),21555,64.28,296292,62.97,990140,40,1,832170,88.32,69.89,83.15,0.0,53.92,97.84,76.99,12.84,1136384,428635,958803,4.59
2480,POINT (134.207725 33.382769),23184,91.33,906076,28.68,704757,64,4,750806,23.9,87.16,27.64,75.74,18.25,82.05,54.69,56.76,10322581,500791,56276,14.23
2481,POINT (136.944189 36.575475),11533,44.44,925885,93.02,275127,22,2,258889,41.41,74.49,76.93,92.68,84.96,95.13,51.56,19.69,1536256,948224,778094,37.28
2482,POINT (131.468798 32.675123),23041,73.11,258644,47.13,685938,31,3,588114,49.42,25.09,45.74,20.52,39.08,54.34,78.28,92.37,11332611,188851,43292,21.73
2483,POINT (133.692909 34.196095),3671,66.84,250048,22.63,196468,78,1,732829,62.31,97.98,72.02,91.3,88.47,95.6,64.16,51.81,14726042,260160,605258,97.3
2484,POINT (139.162515 36.406819),24240,3.27,278141,99.23,124036,27,4,555286,46.36,35.6,46.76,24.62,93.2,76.28,21.98,35.7,5295469,911909,473907,30.21
2485,POINT (130.826915 32.281234),10469,62.97,933093,28.16,6012,65,2,140481,53.27,43.62,93.97,16.24,82.6,99.54,73.21,41.59,12797004,991973,626842,85.97
2486,POINT (139.479181 36.102993),9190,4.34,93684,33.32,905594,70,2,791487,47.03,10.56,26.13,82.51,84.66,59.79,61.42,1.9,9990900,113895,808611,82.04
2487,POINT (134.542297 35.347706),5940,36.29,889575,55.7,841576,70,1,372270,35.82,14.35,92.11,27.69,69.25,37.56,56.42,93.19,10464208,457683,195801,90.5
2488,POINT (142.033593 42.555608),21867,20.26,394124,35.54,287198,50,5,615209,69.95,11.66,25.65,9.61,61.89,22.29,27.63,64.7,5419980,834549,688437,11.5
2489,POINT (130.577070 32.465023),23132,11.66,158215,22.66,921531,76,1,183435,69.05,81.71,54.07,33.32,13.86,44.93,17.64,68.99,3481652,348538,212421,92.32
2490,POINT (142.766476 43.574745),5699,5.44,657431,39.85,282376,56,5,734685,37.29,13.0,52.12,10.53,48.93,54.47,90.15,87.38,3534649,778099,960888,35.97
2491,POINT (138.492151 36.020964),7667,9.59,562560,73.31,744485,62,5,619772,49.56,54.92,33.69,12.68,18.31,88.37,3.21,0.16,8538911,313854,716635,28.15
2492,POINT (139.196266 35.705001),18410,5.18,742415,61.32,485140,76,2,289693,60.91,81.49,68.61,30.95,78.95,12.59,62.91,54.68,11698655,169173,85090,43.89
2493,POINT (131.161794 32.225562),15516,7.15,574435,22.69,471069,41,0,604056,35.3,3.44,56.06,38.68,68.47,37.28,95.91,82.92,11153961,40362,926180,99.0
2494,POINT (136.190636 36.084315),2997,56.6,683602,91.93,614305,27,2,44116,68.49,8.82,31.52,87.26,75.66,54.94,37.99,16.95,14940110,336842,858034,55.22
2495,POINT (140.774809 42.739818),4355,66.76,548632,58.57,184611,57,2,303537,85.03,72.68,20.92,76.83,2.76,90.67,47.17,43.87,6812772,862917,712991,21.76
2496,POINT (133.435784 34.977918),8207,29.28,422710,2.75,369143,23,4,131170,76.92,45.13,4.9,13.51,84.01,50.78,28.27,41.27,2354071,591892,482216,98.67
2497,POINT (140.547378 36.054563),3259,68.62,294261,35.05,103336,70,4,620208,4.0,88.6,60.27,14.92,46.16,10.26,23.51,40.8,6285989,353044,276976,45.54
2498,POINT (138.151849 36.572809),16476,87.31,413396,73.68,87050,43,1,141049,63.23,76.47,49.31,59.2,17.87,50.33,53.15,7.19,6179341,365311,925256,31.69
2499,POINT (131.773569 34.418267),23700,2.88,964877,3.13,642604,40,2,595758,63.08,49.54,98.37,36.58,61.31,54.02,97.64,57.34,9435087,100288,43236,65.2
2500,POINT (136.757894 35.535155),11514,9.65,437507,83.7,230601,48,3,532224,0.89,22.58,31.07,12.55,79.46,25.52,4.46,6.83,8893187,126371,111509,1.34
2501,POINT (139.947193 35.388305),19129,2.84,243534,13.09,327948,68,5,422907,81.12,59.8,62.39,90.1,61.8,3.82,82.79,16.26,5355992,678698,855117,92.73
2502,POINT (143.438219 42.679559),12942,21.06,490214,30.17,134402,77,0,772753,10.09,92.54,27.21,51.91,48.32,19.09,70.04,50.49,9314810,911422,623690,19.02
2503,POINT (133.907998 34.571668),2840,12.52,540424,13.14,754235,41,3,884512,61.28,91.34,3.77,81.34,67.95,3.23,38.68,59.92,3035737,953689,119881,16.52
2504,POINT (137.241818 36.083773),6656,22.93,771421,10.77,847656,22,0,81784,6.31,89.46,21.77,76.65,55.93,7.19,49.44,44.2,1268179,429747,122771,38.0
2505,POINT (138.871946 34.783754),1205,89.04,848886,62.11,248121,75,5,363222,98.59,57.55,8.16,79.26,57.71,52.33,94.17,3.71,10881155,670932,391651,99.6
2506,POINT (140.040297 37.884022),14088,21.56,728032,70.66,151534,64,0,968049,64.95,90.42,13.91,92.47,66.61,68.72,16.48,29.77,13341483,708848,855957,61.63
2507,POINT (141.837988 44.576840),5976,5.44,105611,26.12,886077,57,2,845872,78.06,31.19,20.42,37.39,59.7,66.46,83.01,43.98,1401402,218194,574361,32.37
2508,POINT (140.175269 40.403017),5773,97.52,384767,77.0,819571,74,0,925182,53.07,37.76,50.83,89.24,80.43,27.97,47.66,82.38,13306577,570460,332699,52.02
2509,POINT (132.324712 34.834826),7089,48.95,864705,56.49,4035,39,4,932698,9.47,27.71,77.38,42.53,72.52,73.51,7.39,28.85,10914305,467384,582303,49.12
2510,POINT (141.857957 44.532325),18325,31.65,750688,49.68,716041,39,1,164410,51.42,79.66,53.26,55.92,79.88,79.53,37.67,97.05,9367534,947484,452116,43.39
2511,POINT (139.801887 37.029729),20081,31.02,542668,48.71,305405,23,1,930468,85.27,70.55,84.64,0.18,40.51,35.13,11.92,6.64,5539812,246024,234737,44.46
2512,POINT (138.175374 35.934448),14446,39.78,782629,32.28,6687,54,2,693411,95.2,87.21,81.36,85.79,64.18,88.82,42.21,53.8,12626257,658569,416708,71.19
2513,POINT (136.237775 36.047455),6019,41.09,535958,11.48,475374,72,3,3240,9.45,17.83,35.16,9.44,43.2,24.49,28.32,33.64,7914631,870142,1615,16.83
2514,POINT (139.842504 35.194937),2823,31.02,166321,66.22,149141,54,2,347049,28.9,73.26,46.19,2.6,64.22,68.02,87.22,65.88,13488750,184251,18530,68.31
2515,POINT (141.758291 40.076594),12825,38.1,737289,53.17,85129,46,2,362523,72.08,95.75,69.99,72.19,79.18,26.31,28.34,85.47,2566574,965216,605659,41.01
2516,POINT (131.500076 33.254244),16042,10.03,165918,9.93,859514,50,2,975958,50.55,92.09,94.09,91.2,11.53,79.69,73.64,54.73,8357921,266563,474651,67.49
2517,POINT (141.960187 44.603358),19380,33.08,868818,46.72,493330,60,5,315104,94.18,3.93,46.13,26.47,1.03,3.79,67.46,99.3,11187561,201545,398150,22.77
2518,POINT (140.852145 37.794628),22853,27.61,664786,77.96,379067,26,2,96757,67.78,1.13,99.94,69.54,18.89,86.49,81.49,44.73,11312931,331816,925628,88.74
2519,POINT (133.187183 33.561810),12316,80.37,409931,3.98,76248,34,1,691206,99.6,52.4,77.23,14.91,82.36,1.49,30.14,43.33,5842265,230871,546244,82.32
2520,POINT (139.817735 42.359306),10223,5.12,561915,59.33,138243,72,0,478439,49.92,56.67,6.72,8.88,51.43,55.2,0.19,62.76,6221206,266628,855891,33.24
2521,POINT (130.163353 32.635678),16072,28.21,819986,66.41,859767,68,5,663437,88.66,79.35,76.25,5.58,88.78,73.34,3.47,74.89,8258149,677311,251330,0.42
2522,POINT (130.698100 33.325806),14805,53.2,378104,83.48,469960,32,0,328729,82.76,42.83,4.6,83.22,33.81,80.79,67.65,50.89,10244601,376375,786789,75.85
2523,POINT (133.107773 33.355405),18986,14.72,990718,97.47,887289,61,0,275973,76.01,27.83,88.66,78.85,10.24,12.44,5.88,15.34,1603685,834461,525151,71.75
2524,POINT (140.541855 36.593023),20183,85.46,64368,30.06,110605,44,2,858290,40.18,38.16,73.05,9.55,95.28,11.69,1.02,22.67,12915834,355740,551844,11.93
2525,POINT (140.742409 38.719027),10568,45.64,699136,36.73,153822,28,1,990944,4.56,5.79,73.11,12.36,13.94,89.48,45.98,1.89,5106625,701506,850353,69.62
2526,POINT (140.443906 39.162928),23049,69.6,78645,50.55,149290,23,4,513621,81.15,56.04,77.66,21.2,12.38,81.81,73.6,75.08,1737793,221860,129924,50.93
2527,POINT (133.381601 34.932590),3480,99.45,388125,92.28,945771,59,3,174877,8.81,24.32,94.12,21.67,70.48,70.39,57.47,35.57,7507864,486217,644599,71.2
2528,POINT (137.105678 36.634935),5462,39.99,969545,14.81,269407,72,3,131655,77.49,70.4,75.18,25.22,55.88,44.38,0.81,40.4,5541823,923867,251809,14.81
2529,POINT (139.387290 37.564278),24830,94.71,63117,88.39,51992,48,4,152514,39.81,67.57,85.66,1.43,70.15,53.13,71.17,70.14,9438823,938060,718593,76.74
2530,POINT (131.685861 32.771237),15961,80.62,286943,75.03,848262,37,4,478770,72.28,73.95,84.15,43.3,39.63,19.0,20.91,98.75,12795642,758087,156486,97.69
2531,POINT (140.023064 38.855995),5780,70.83,417120,83.21,485851,49,2,548658,62.0,2.93,10.01,12.37,23.78,74.96,97.91,37.41,11729847,975814,625476,1.11
2532,POINT (132.350448 35.000884),4871,39.65,942552,15.93,170900,54,3,630880,7.61,80.29,85.53,17.28,64.66,31.2,55.72,56.9,3119689,273327,710478,68.13
2533,POINT (141.767940 39.206678),18148,26.63,991593,66.17,133991,36,4,592896,57.01,99.77,59.7,54.54,63.92,9.18,3.2,55.85,10704299,507824,915946,72.45
2534,POINT (136.436735 34.499190),11740,73.8,703889,33.02,729918,57,2,751075,27.37,1.73,84.78,42.84,86.97,30.31,35.73,38.31,2801431,612559,884128,24.9
2535,POINT (139.180491 36.983662),11004,6.44,2175,76.41,640901,76,2,929343,3.26,7.55,48.51,37.13,9.36,12.47,37.58,2.91,2348142,695783,677625,66.79
2536,POINT (140.096165 42.461399),3149,37.39,437639,98.18,823080,63,3,729133,8.88,76.18,17.32,60.24,6.62,42.82,7.56,76.43,13347046,267955,616492,63.53
2537,POINT (139.705261 36.151921),9325,56.56,728981,26.18,399418,60,0,116535,15.56,79.56,14.51,22.38,69.21,84.73,73.99,36.65,3501879,398757,346171,9.4
2538,POINT (139.768865 36.288690),2224,97.5,966902,28.3,859317,22,2,984748,65.29,26.95,22.33,38.84,35.62,21.55,63.93,19.62,13964250,945864,642261,13.26
2539,POINT (144.982925 43.397497),10144,4.2,743579,44.35,794358,33,4,994177,59.2,52.57,46.77,89.94,48.63,1.84,66.17,64.11,7758769,378714,968704,89.41
2540,POINT (141.144860 40.124824),11235,66.47,162830,82.23,869697,42,0,479077,60.3,63.9,70.35,1.78,87.36,96.02,12.19,46.98,1189189,737563,208027,73.22
