id,geom,Income per Capita,Internet Access,Migration,Health Facilities,Literacy Rate,Death Rate,Registered Residents,Unemployment Rate,Vehicle Ownership,People Density,Households,Family Identity Card,Average Age,Water Access,Employment Rate,Population,Electricity Access,Mortality,Birth Rate,School Enrollment
704,POINT (102.912185 -0.196439),5339351,61.22,5.33,899865,35.74,42.39,453178,23.12,0,7630,19450,875038,29,71.29,15.41,342090,36.24,36.64,87.57,45.23
705,POINT (118.997465 -2.653613),11888181,96.82,75.48,492756,15.58,29.57,416922,73.04,2,14601,789166,981580,77,0.42,15.25,307028,95.03,2.58,79.95,49.09
706,POINT (110.464934 -0.308422),2510588,9.35,91.62,320801,81.88,62.19,290371,69.94,1,17647,445350,664891,23,8.38,36.9,770580,31.77,53.08,18.91,89.4
707,POINT (117.017833 -8.565575),6183154,52.92,46.72,108028,17.25,68.45,282447,41.77,0,14132,464686,528752,27,30.1,92.63,67414,17.88,76.13,38.74,83.66
708,POINT (120.248906 -1.916415),6001851,75.84,21.46,548781,74.78,36.62,821178,66.21,4,9224,163124,364399,41,47.79,81.11,816270,22.48,60.11,30.94,56.18
709,POINT (111.091756 -0.495803),4514850,96.78,69.11,28816,91.16,10.65,618895,56.85,3,9033,799799,695215,42,67.72,32.41,22880,36.95,45.63,5.34,94.9
710,POINT (112.848425 1.116244),7563296,47.81,9.27,599275,4.31,52.49,510378,38.34,4,4499,556513,59234,79,7.01,83.81,888997,80.28,16.82,88.82,25.03
711,POINT (115.741702 1.180726),5994476,82.24,90.54,208515,73.15,28.83,731375,79.2,5,13689,97778,928990,65,65.18,94.23,124045,20.44,37.59,71.06,46.3
712,POINT (112.517926 -8.380435),6599907,38.32,32.36,2392,93.47,96.98,921035,84.07,0,9568,117608,774532,37,79.24,2.53,332036,91.9,40.35,82.41,10.99
713,POINT (103.197562 -2.331680),12973131,0.3,16.4,947917,73.54,20.67,108712,27.93,0,11425,540309,321902,74,34.56,94.7,523579,74.99,0.71,49.74,88.74
714,POINT (138.185601 -7.621247),3034372,61.71,22.36,375305,92.57,84.56,491780,13.5,3,5555,328812,185211,63,65.38,50.16,219244,95.34,92.23,67.13,57.42
715,POINT (130.954937 -1.038919),1705432,14.84,25.63,837103,40.37,26.51,353854,73.69,1,18960,992051,909091,42,35.19,49.3,481254,70.81,71.46,40.56,72.96
716,POINT (117.020068 1.801741),10492392,68.62,44.13,346831,41.74,1.74,759637,55.79,2,18554,806594,634932,55,84.7,54.37,653605,62.36,13.27,95.74,11.74
717,POINT (120.338159 0.865106),9126800,7.9,66.64,898079,30.75,37.11,120405,67.78,1,17362,533580,612498,30,86.05,83.4,516299,93.82,21.44,4.3,46.66
718,POINT (103.337243 -0.178446),9330709,67.94,91.82,809760,26.06,9.4,549364,82.05,2,21981,135867,337387,22,8.89,64.41,359527,36.21,8.89,13.79,57.49
719,POINT (114.367010 1.473925),8834193,80.0,4.93,156508,25.35,8.28,227333,78.88,2,16654,481510,188398,67,66.16,70.9,407542,33.85,45.26,29.71,21.18
720,POINT (113.645642 -1.782240),10839341,0.6,34.25,320085,22.13,47.62,572457,7.09,5,11492,991955,791617,30,73.5,21.27,745893,41.56,59.54,0.83,93.27
721,POINT (140.131670 -3.947972),8670463,0.35,68.79,558896,24.08,95.37,687276,16.31,5,15910,21056,196964,50,20.76,52.87,96612,14.63,56.14,62.33,42.8
722,POINT (114.652380 -3.187476),1063219,87.57,78.69,477982,76.54,18.21,16489,67.22,1,20624,768742,624563,24,94.13,71.82,654592,65.22,42.62,50.77,99.65
723,POINT (117.587379 -8.777579),4526899,99.19,60.94,857319,68.55,37.83,105055,71.2,0,20827,646405,270625,65,80.52,13.24,128457,68.95,29.85,59.37,34.87
724,POINT (118.062934 1.194788),14580772,23.88,35.76,449442,85.57,18.59,890652,2.87,2,1734,480835,387289,26,56.21,35.93,417329,39.69,17.07,84.75,26.95
725,POINT (105.729604 -6.726535),12764272,44.87,35.56,947408,18.79,26.94,473319,59.14,2,3050,675620,728660,42,98.03,87.48,459239,0.63,85.2,67.85,10.35
726,POINT (136.789025 -2.476921),2912280,19.02,82.0,390184,43.33,34.41,385595,59.39,1,8043,977918,808629,58,83.63,11.69,178535,70.31,89.66,16.42,60.77
727,POINT (116.961585 3.496450),1892451,66.08,22.69,275800,87.51,85.35,521743,27.21,0,18801,839529,849423,69,52.96,3.08,964907,4.19,89.87,57.3,42.46
728,POINT (101.241280 1.414889),13913072,90.12,7.08,863642,86.96,59.41,137734,11.69,0,22565,42238,205311,47,84.56,63.4,759400,87.56,6.73,94.33,65.23
729,POINT (98.688158 3.359988),3580841,27.39,45.51,119407,76.55,79.09,672506,83.58,0,16849,335983,860316,39,26.55,66.79,134361,12.99,77.18,45.46,20.11
730,POINT (119.599006 -3.293004),12056375,81.12,74.92,256688,76.9,18.4,302209,28.49,0,13695,979919,16323,67,10.4,34.09,66309,5.4,61.63,41.49,32.27
731,POINT (112.317994 1.162382),8236929,6.88,69.34,486077,4.3,27.11,796842,56.04,1,9924,451641,444959,76,58.35,15.49,98073,10.84,36.87,60.58,4.11
732,POINT (138.990774 -4.472623),12327333,3.74,77.12,878563,18.55,44.99,185751,44.02,4,13870,720934,244054,54,18.36,15.81,754599,74.75,71.14,73.86,27.92
733,POINT (98.936534 1.919343),9855898,58.15,78.03,404126,90.45,0.37,723606,18.59,5,17567,891352,776430,63,81.74,18.33,251714,58.72,39.34,66.42,88.65
734,POINT (101.621725 0.251715),3837064,8.14,40.22,111944,35.0,12.05,289327,58.5,5,1733,993451,754334,37,57.42,34.89,291375,56.89,26.34,73.88,67.09
735,POINT (110.345396 -7.026763),7005055,63.75,11.42,757388,28.88,57.89,856977,91.83,2,3551,946877,282763,44,11.31,78.39,280711,63.21,57.48,86.99,1.57
736,POINT (109.401743 1.492807),11986563,77.17,68.55,766484,1.55,57.85,790277,76.94,5,20222,603222,75222,58,34.12,52.91,342615,10.92,56.37,79.75,86.32
737,POINT (112.671065 -0.972062),10829495,58.9,45.07,994849,26.65,12.13,654198,52.2,0,9384,681193,863197,35,20.58,26.25,984571,32.96,17.67,97.48,80.37
738,POINT (138.315075 -3.801507),5281543,89.0,23.3,456847,38.96,33.65,855577,32.54,4,17387,613706,771407,25,95.16,93.27,540997,94.41,37.01,21.71,19.92
739,POINT (105.284891 -3.440608),13407522,60.7,44.53,505348,47.9,83.97,173462,38.97,1,14323,633821,843101,76,56.29,9.89,436306,17.91,88.8,4.8,74.81
740,POINT (113.995336 -2.056189),12568009,98.63,87.86,502385,94.49,55.27,23817,36.22,3,21862,281570,686943,51,60.1,56.7,104641,76.3,50.75,63.86,34.86
741,POINT (103.716086 -4.140210),6069607,49.33,83.22,862654,81.1,92.54,157803,92.03,0,1964,21945,37725,76,62.9,41.41,355551,47.89,55.43,23.44,1.38
742,POINT (116.351448 -2.739671),2774984,57.37,44.3,223984,69.63,64.15,70347,8.9,2,9172,791421,769232,64,84.72,69.21,810137,52.98,74.61,81.8,52.6
743,POINT (113.508411 -0.624905),14814046,53.21,95.95,858722,37.99,29.99,734372,17.84,2,11452,855743,862574,46,44.24,53.78,35424,37.69,15.05,66.99,5.02
744,POINT (122.621858 0.547297),13205412,72.9,44.3,459076,71.69,70.36,304187,67.82,1,1995,668662,29338,41,3.26,65.22,396108,44.16,69.07,13.89,91.34
745,POINT (112.691781 -0.514173),7362016,27.38,65.38,937229,61.64,16.33,120666,74.97,5,6149,763914,642745,48,3.25,97.89,440467,18.58,34.97,78.87,27.52
746,POINT (114.899067 -3.696377),8205698,82.71,40.8,354447,53.32,56.11,493578,97.52,2,11232,635027,126608,62,81.76,24.95,214258,42.0,88.23,80.58,96.85
747,POINT (116.317771 4.162335),10403147,46.34,79.55,726848,1.93,59.37,444069,66.32,5,3001,383860,393705,52,92.83,27.25,178158,40.32,26.53,36.41,97.0
748,POINT (115.936255 1.196616),14406900,94.8,65.92,34696,14.64,74.6,501153,8.38,3,5797,118639,553776,35,2.02,4.01,767214,24.95,77.95,1.76,13.63
749,POINT (126.194670 -7.740518),2742785,80.85,38.52,940699,12.0,94.95,830205,96.14,5,11733,215835,704940,36,48.9,40.84,323337,54.35,5.7,18.41,38.81
750,POINT (132.690494 -1.361528),8469345,24.23,68.13,19388,62.06,21.66,305445,35.43,3,19257,348063,18561,36,96.28,98.27,860600,37.34,76.27,92.59,38.95
751,POINT (115.837281 2.772731),7049276,83.09,97.66,137389,51.34,58.57,429418,15.48,0,20568,674924,645651,74,89.81,98.16,727534,0.42,27.98,68.24,32.76
752,POINT (106.278375 -2.598441),4018454,47.47,33.62,278123,0.58,91.29,37312,46.47,2,17084,330095,695655,44,15.36,97.99,293375,93.82,18.36,14.93,90.8
753,POINT (122.508184 -0.961671),1261776,41.26,75.76,357800,53.83,12.45,321233,76.03,5,19396,954030,430228,68,44.98,82.16,730200,99.5,40.78,67.92,76.32
754,POINT (101.298496 -1.911856),3348693,99.18,85.01,49027,88.43,58.93,293864,48.12,0,7425,818807,238930,74,49.21,66.94,531728,65.58,54.71,76.01,17.8
755,POINT (135.835267 -4.380967),14557435,65.65,8.04,381165,47.12,79.12,471900,35.21,1,6168,364846,534587,28,82.15,23.37,157888,34.11,25.42,46.05,61.85
756,POINT (115.025713 -8.377019),11760719,5.47,55.18,415872,69.6,8.85,677776,13.19,5,7936,522148,341553,25,34.33,96.16,353232,70.49,30.98,55.27,89.44
757,POINT (103.813226 -4.265486),13619807,33.43,10.58,983355,70.16,73.92,66695,92.2,3,6689,477961,824558,50,76.28,70.17,493093,18.66,72.79,18.49,25.9
758,POINT (111.458481 -6.711491),7841365,61.45,64.96,103339,53.12,5.35,438161,32.58,3,24577,85006,192022,21,80.06,88.9,610670,53.95,96.34,13.28,81.79
759,POINT (103.335243 -4.166784),11692664,93.41,36.97,424997,26.66,6.62,72828,22.02,1,8510,553912,244894,31,36.95,12.1,765425,92.34,4.89,92.26,54.22
760,POINT (138.770276 -4.520567),4156690,54.35,45.68,710534,85.05,85.25,197223,81.57,2,3079,883579,475374,54,34.46,85.43,203123,49.76,1.39,21.74,32.0
761,POINT (102.325702 -1.706697),11498509,3.03,87.71,623144,20.68,47.24,981563,3.15,4,20575,983377,882160,23,76.56,13.08,451771,19.99,86.02,34.02,75.52
762,POINT (114.028490 -0.068757),11224001,78.07,67.88,781238,94.69,63.18,383652,31.86,1,21059,866366,780490,37,7.88,33.26,408254,23.74,57.29,22.52,44.23
763,POINT (112.806338 0.602995),2713745,2.19,96.15,937043,21.86,95.65,379377,29.81,2,9244,368784,764752,72,74.54,85.6,189355,63.8,45.59,84.07,10.79
764,POINT (101.091045 0.955965),7921296,93.49,60.3,954759,71.77,68.39,943639,14.9,1,3577,485606,887446,47,22.93,2.16,865665,26.64,72.28,90.1,70.56
765,POINT (119.898917 -4.998221),7602964,18.17,82.78,344697,69.43,65.62,242019,25.59,5,12575,819280,957696,80,78.32,53.44,723918,89.04,53.04,25.54,15.32
766,POINT (139.942736 -5.365046),1275202,86.53,7.7,230741,75.6,38.52,780774,65.28,5,10875,414267,665567,25,28.38,31.38,520225,22.24,43.18,81.03,99.8
767,POINT (112.715988 -0.369041),14838631,16.47,54.76,535779,91.28,69.96,688909,94.92,2,22015,385403,607337,79,72.48,32.38,708016,80.02,52.3,73.52,75.16
768,POINT (134.617620 -2.595172),6767451,24.98,31.99,619370,77.48,42.04,456900,32.67,5,18585,838205,45650,71,61.1,35.35,653895,42.42,56.18,90.1,46.36
769,POINT (116.447677 -0.846541),9144063,23.47,65.39,915349,58.1,78.35,951553,81.8,3,18353,205945,100895,42,50.42,24.23,177853,48.78,37.18,57.51,98.15
770,POINT (116.110609 -8.703990),7876576,27.92,81.48,703445,60.95,19.93,281569,10.32,1,3803,662253,198591,46,68.2,37.85,921279,78.68,80.91,49.91,26.18
771,POINT (111.079568 -8.123828),7237246,19.66,52.2,612948,59.89,62.94,417760,46.32,4,17156,22012,415037,22,15.92,83.53,547057,75.86,50.55,58.24,58.34
772,POINT (114.714712 0.379808),9865566,29.2,70.45,412074,30.65,43.44,581067,8.18,2,20916,749404,739975,61,16.27,3.08,403513,25.95,80.12,42.13,16.38
773,POINT (109.769249 0.644514),10822174,71.84,73.97,834278,94.55,96.14,859715,95.43,4,7657,505190,892755,50,6.37,14.28,25280,75.54,92.51,54.7,38.26
774,POINT (115.826534 2.136134),10903439,14.25,56.24,4425,50.26,74.71,111004,50.72,5,5892,953268,781522,39,32.46,61.69,271254,21.24,36.19,4.86,5.92
775,POINT (104.056142 -5.171927),2986916,80.15,30.72,714732,85.31,27.57,982779,38.19,5,15426,969552,116018,42,17.99,69.35,478119,51.67,93.78,28.39,68.87
776,POINT (97.270983 4.111406),6424921,19.2,70.13,263912,36.2,82.06,870900,71.47,0,7359,264563,841214,62,56.91,83.94,830580,78.27,49.46,40.15,41.08
777,POINT (119.589766 -1.705960),11052391,61.55,19.31,377111,14.7,92.62,317016,74.34,1,8861,799245,634751,73,90.72,54.37,878629,79.9,34.08,80.59,94.4
778,POINT (111.502651 -1.349168),1499755,0.49,23.64,88154,21.6,84.98,969114,62.93,5,14026,828407,86456,48,82.43,2.56,875355,52.38,53.92,68.89,46.89
779,POINT (140.924566 -4.198657),14749195,22.28,77.19,483002,83.11,93.83,602578,95.15,0,18265,178459,940866,69,20.09,95.12,426229,13.16,96.01,14.41,65.76
780,POINT (102.016231 1.421131),13164368,1.4,44.93,481248,49.76,79.66,291131,71.59,3,10057,988311,816966,67,34.57,46.16,178682,23.42,58.79,67.31,92.01
781,POINT (114.477588 -2.113971),5632718,46.61,9.7,468789,91.93,2.93,489413,3.85,5,13848,244067,803866,56,17.3,34.87,257570,46.89,27.32,28.97,85.89
782,POINT (101.884043 -2.704005),3662329,81.7,82.75,881941,53.61,16.88,792811,91.53,3,17433,355635,760383,71,22.33,98.71,473391,87.3,29.99,52.53,71.43
783,POINT (111.261759 0.648318),10586065,99.82,79.05,901743,29.91,22.69,420535,9.68,5,10719,521265,316079,48,39.05,32.21,394268,10.35,85.32,96.69,7.67
784,POINT (134.922342 -1.049271),4115864,77.1,56.84,366549,52.92,10.21,462045,4.65,0,19528,771359,104457,63,94.62,27.7,127267,46.65,35.58,96.46,0.1
785,POINT (133.130769 -3.613304),8886945,64.97,43.33,917195,2.34,37.39,325219,11.83,0,8056,398318,485504,33,78.87,25.01,332322,25.23,44.98,6.14,58.12
786,POINT (105.634568 -3.984220),5057743,91.82,36.69,343572,43.69,60.27,846793,18.74,1,17032,663080,934476,40,71.67,65.56,441603,4.74,56.43,49.6,72.46
787,POINT (110.161172 -0.083215),4454734,70.82,82.89,948667,0.11,6.43,798603,51.39,4,24610,231084,765442,44,76.3,34.06,889924,68.36,54.63,36.76,33.68
788,POINT (99.197728 0.724475),11119352,90.4,29.86,173345,77.09,20.54,75382,4.64,3,16668,610792,616900,33,50.24,41.79,448951,17.86,39.82,45.23,28.81
789,POINT (119.251119 -2.758437),4036932,77.71,44.66,694003,48.67,60.56,4407,70.93,5,16183,94552,710538,56,27.12,10.61,494480,67.06,84.29,66.41,37.24
790,POINT (132.318652 -5.521652),2555709,99.59,96.33,972173,24.53,45.37,70316,1.04,2,24552,438474,944731,64,44.28,64.39,313774,96.62,26.33,25.15,14.4
791,POINT (102.611312 -2.002968),3126701,46.96,56.12,65118,70.19,96.47,820900,3.26,3,24880,496654,756143,34,83.48,59.94,600690,86.56,96.79,32.61,29.97
792,POINT (135.508343 -0.709998),11970033,72.44,65.93,684462,85.45,6.75,4844,55.95,0,23494,165701,692860,65,46.63,48.97,16226,96.69,49.65,35.33,18.64
793,POINT (118.120119 -8.344345),3735769,18.18,78.93,346746,49.58,12.21,993503,60.72,3,19861,788920,782321,28,12.44,28.97,35028,5.94,43.27,73.34,80.32
794,POINT (133.555274 -3.499741),1997046,48.59,50.3,588806,44.84,52.46,194154,15.03,1,9355,588555,607737,38,33.97,36.31,642938,24.46,2.53,59.19,54.76
795,POINT (138.456557 -6.144195),5263145,28.37,94.83,240763,66.9,4.6,471903,73.93,4,3442,756791,821489,45,56.62,56.43,289776,19.92,34.06,81.29,65.61
796,POINT (120.189116 -2.966257),5552098,37.76,23.8,159895,53.3,36.79,986981,67.73,3,12396,813010,435319,52,61.83,75.98,25452,45.66,56.43,46.61,86.26
797,POINT (119.968703 -5.358246),6114519,99.41,5.44,548726,10.95,0.26,306990,20.74,0,5454,793624,89061,55,2.94,19.53,982557,76.97,74.23,39.2,8.38
798,POINT (104.413538 -4.962392),10975410,22.17,7.0,238955,86.7,82.41,472823,45.03,1,5983,295482,775012,78,84.95,25.42,358074,2.71,21.63,52.14,39.01
799,POINT (138.723363 -3.919400),5669804,69.33,96.96,451327,18.25,39.64,388067,19.82,3,13065,418110,617589,40,18.12,67.19,521634,54.15,86.17,62.85,2.18
800,POINT (114.164829 -0.924668),3915419,27.19,72.64,81791,89.97,33.09,103260,6.57,0,24154,196075,501010,38,76.66,75.66,314453,15.57,72.17,67.56,12.25
801,POINT (120.273052 -2.736220),1316236,92.48,37.32,835830,71.97,88.35,876149,4.28,1,1272,23138,594845,30,86.8,18.71,479564,37.21,34.78,3.38,12.13
802,POINT (123.869437 0.423316),3005393,36.4,84.49,992955,20.64,88.95,822320,97.78,0,14754,403209,810492,20,76.94,30.47,272542,20.42,52.05,16.46,3.96
803,POINT (101.623677 1.816153),8347683,31.84,68.5,294653,54.88,62.03,794507,11.33,5,18017,258693,976414,50,97.39,70.78,906353,32.67,88.51,23.09,81.8
804,POINT (112.509107 -2.222081),4467627,45.21,76.77,207584,76.35,73.77,219674,48.52,5,18109,341663,704012,37,51.0,40.34,199407,72.66,26.84,49.47,25.48
805,POINT (121.084029 -2.026810),7735750,41.44,83.36,497293,48.15,56.52,208898,91.5,3,16461,586160,923100,51,6.38,76.57,737436,81.87,86.75,43.91,6.86
806,POINT (122.205994 -3.953768),13092248,61.01,57.52,762454,31.7,24.42,77140,37.57,5,18378,381523,463930,38,18.02,90.1,518134,10.56,84.85,91.4,33.06
807,POINT (105.019909 -3.126230),5582865,51.97,96.25,802272,31.54,60.56,714898,10.03,0,19210,146061,596653,73,75.92,92.56,364223,1.63,66.5,71.5,59.96
808,POINT (113.679059 -2.982836),4543033,90.27,22.5,251544,98.57,22.68,586505,94.66,4,6281,721615,145367,56,46.59,1.28,514734,4.82,96.35,88.54,14.39
809,POINT (104.635643 -4.871852),14114498,74.57,75.39,707336,27.07,27.98,445845,77.72,3,15826,498703,523547,58,22.52,56.74,866968,69.1,15.86,90.91,7.78
810,POINT (110.880397 -3.058310),14521226,91.86,22.42,192137,53.46,11.32,5446,22.14,0,18415,16927,468191,52,82.95,67.36,825807,68.86,69.72,6.91,2.05
811,POINT (116.074233 -3.964686),9592464,79.48,77.65,909643,10.61,65.26,396436,4.27,5,14436,997966,243752,58,0.85,35.64,81661,40.61,51.2,57.87,64.07
812,POINT (120.247014 -3.985811),5968229,75.91,91.58,604369,81.98,28.2,666107,53.02,0,22708,646776,275997,42,46.39,46.79,842355,61.18,72.3,29.56,35.05
813,POINT (111.407425 -7.125952),4753783,63.28,3.35,425549,38.77,95.18,392319,28.9,3,21242,375919,704942,64,71.52,96.05,502134,77.92,27.49,8.89,60.13
814,POINT (115.489699 -0.040469),4931356,83.42,17.64,861553,20.54,78.33,494599,75.52,1,9056,280983,3536,22,37.49,50.46,195572,19.15,53.49,93.54,75.19
815,POINT (103.530447 -3.810504),12260116,50.71,92.64,126683,8.24,89.06,199397,69.43,3,8419,651653,224933,76,56.1,20.21,207394,4.08,42.65,76.12,44.59
816,POINT (117.681568 0.619837),11224296,80.64,30.56,937239,49.7,76.73,413569,47.92,3,18231,447506,401041,79,36.38,85.21,868925,25.92,48.03,58.68,10.83
817,POINT (113.950978 -8.453380),5188182,21.46,55.15,560262,82.84,61.16,652432,58.02,0,3823,57585,303385,45,85.49,59.46,343270,54.05,51.5,41.77,95.38
818,POINT (136.211822 -1.760228),5855263,9.56,5.06,436455,17.41,23.69,489148,71.09,3,5900,771476,833672,66,77.96,36.38,37983,11.72,35.39,38.63,10.21
819,POINT (100.709862 0.212143),8814818,8.86,31.92,213782,70.28,35.05,886093,25.77,2,2513,878347,868609,30,46.55,69.32,63488,79.25,47.31,78.61,89.97
820,POINT (108.667142 -7.007803),10113578,40.33,29.85,40361,34.94,45.41,15056,71.81,2,11209,551193,720770,80,34.7,70.18,425247,98.56,48.22,35.77,5.94
821,POINT (116.170124 -0.828046),10304553,83.53,90.13,26311,43.63,20.16,326437,83.44,1,3979,366230,92575,20,56.58,84.54,34184,89.44,76.39,67.16,46.38
822,POINT (117.689441 2.239312),9082652,72.99,27.47,664331,80.25,82.32,661430,97.06,3,14368,481175,413736,40,8.45,91.58,719996,75.27,52.98,7.35,42.42
823,POINT (98.776032 2.847836),6383755,1.68,28.64,710998,4.45,55.49,270668,8.68,0,22189,724458,62384,62,57.19,69.84,818041,60.0,78.92,40.53,7.88
824,POINT (116.339841 1.898671),4216512,15.87,98.67,984449,16.53,9.24,512869,31.07,0,18374,82174,407992,23,3.26,99.39,51387,45.81,35.34,86.86,71.71
825,POINT (117.149772 3.939228),12558781,69.19,4.57,73387,34.11,39.6,742268,47.45,3,14208,931144,670153,73,45.91,7.13,932156,4.17,94.5,64.08,17.24
826,POINT (121.231110 -2.626316),9423709,39.41,55.26,221185,58.69,25.88,991893,77.8,1,11417,853624,399922,21,32.44,36.06,651520,47.38,35.98,34.67,76.84
827,POINT (119.874471 -2.874239),13467340,5.79,5.86,40118,32.81,45.53,678884,49.9,4,22939,73116,434064,69,37.98,88.93,263368,12.39,56.94,71.11,56.67
828,POINT (136.152704 -1.789920),10133022,53.13,35.48,617924,33.31,63.79,39731,24.62,5,12908,558958,427983,58,40.48,59.47,304221,73.42,97.84,7.03,38.04
829,POINT (103.019266 -3.490516),13905723,78.76,94.53,13041,57.06,32.66,715998,40.43,0,8019,948068,939817,79,74.84,66.36,514641,73.45,43.13,9.17,69.92
830,POINT (137.199398 -2.748236),14583813,70.24,2.4,316177,71.53,2.5,817888,58.67,1,13527,369958,548802,79,0.64,84.85,201143,3.56,42.1,8.9,71.77
831,POINT (101.926086 -3.019041),6857482,40.04,12.22,324406,78.85,51.71,214757,65.8,2,8089,881062,907820,28,58.11,25.09,961006,79.84,36.8,5.45,95.5
832,POINT (117.014411 0.711466),10000365,21.37,60.38,284745,33.25,10.79,362643,1.12,4,18388,793296,165759,57,50.87,0.83,481668,90.47,6.95,69.53,75.8
833,POINT (115.048470 1.115308),7868042,73.85,20.75,73525,51.14,80.26,557564,67.71,4,19428,98180,154185,67,62.54,3.23,584223,56.7,27.56,27.7,7.47
834,POINT (119.851390 -3.942763),1912356,54.18,48.01,834021,90.8,41.02,767411,45.5,1,8350,422285,194626,41,68.83,0.96,84895,25.11,92.56,95.05,85.62
835,POINT (111.989042 -2.690393),7835754,2.31,22.61,253971,91.57,98.44,237145,28.11,5,16463,396121,938763,73,61.61,78.64,722386,95.73,54.32,18.7,45.66
836,POINT (114.692269 -2.394120),12794485,93.79,40.83,62625,64.59,65.16,420315,3.7,1,21013,508772,596303,41,15.36,65.03,127418,0.42,82.89,76.18,20.09
837,POINT (121.107083 -2.074385),1491050,87.18,59.36,283111,95.61,83.25,797787,41.91,2,4670,378309,318887,66,19.42,59.39,91607,30.34,15.36,21.32,35.82
838,POINT (140.575345 -6.419116),12196670,12.62,15.65,658782,70.09,75.49,37124,41.65,2,3325,790331,678216,62,58.77,15.38,131218,66.54,77.79,81.41,9.73
839,POINT (133.570638 -2.721535),13022820,77.42,25.13,775023,41.45,63.19,238096,35.66,3,1313,577436,575881,23,71.58,57.62,757524,87.85,21.49,9.47,39.54
840,POINT (115.330220 0.139842),4752236,62.68,35.32,987644,30.51,31.3,144172,16.06,0,16002,988133,643049,79,68.58,40.13,218922,12.82,48.06,77.53,0.41
841,POINT (100.876255 2.172059),9709819,70.03,69.01,215306,58.77,27.42,335029,28.55,4,17169,419370,232779,67,47.34,44.76,374106,55.87,99.34,27.72,91.1
842,POINT (140.799270 -8.895237),7098112,11.71,86.6,639157,14.77,76.12,89057,64.13,1,18180,244650,802478,55,10.05,85.06,470381,67.4,13.62,37.02,56.7
843,POINT (119.169500 -2.446325),7024470,59.2,15.54,73878,6.49,44.58,914493,62.3,4,18095,583419,360903,22,82.99,91.59,420430,83.2,86.54,23.96,26.86
844,POINT (100.300900 0.246690),11735474,50.23,90.47,450729,9.47,81.23,399291,2.47,1,11811,194588,743245,27,40.69,20.68,376284,5.55,2.93,99.15,93.22
845,POINT (110.389882 -1.511014),8778377,78.98,8.77,508727,68.33,76.26,282422,88.91,4,16082,117708,178943,69,16.33,97.47,715702,0.24,44.49,42.43,3.05
846,POINT (102.870426 1.132798),13514037,24.2,22.9,47754,2.57,81.89,699494,53.11,0,2775,784756,543495,33,55.52,92.72,401805,99.09,26.81,85.21,37.91
847,POINT (139.474169 -3.383855),3376521,12.6,75.09,577960,5.88,76.54,136550,77.72,0,18380,796319,296628,70,80.64,65.63,931659,22.49,61.08,43.11,33.03
848,POINT (114.644149 -2.214481),13490811,60.96,44.26,849799,16.6,44.58,707263,47.58,1,8627,346752,60806,29,43.29,76.44,922931,62.1,23.68,62.54,6.41
849,POINT (99.724129 1.913153),12774866,88.34,7.65,154802,49.6,90.95,625399,98.76,0,23490,74291,289413,21,14.17,58.82,472936,25.77,77.04,18.9,9.43
850,POINT (113.040092 -2.830300),3161143,34.23,49.57,631405,55.28,56.07,193573,81.2,5,16542,848780,201005,36,71.03,55.21,691954,51.98,34.22,9.66,72.8
851,POINT (117.586338 1.428567),14715423,55.92,98.21,824813,86.65,86.08,280763,2.81,3,7868,687113,340671,63,91.97,15.24,190098,31.28,52.1,76.58,73.15
852,POINT (117.643445 -8.566970),9131644,63.92,41.53,933658,80.03,78.0,597163,20.49,0,24435,150352,554646,30,86.5,4.67,637912,26.93,20.2,50.43,21.93
853,POINT (119.245082 -9.477458),8296779,58.01,8.57,492525,37.33,3.34,721076,38.65,4,2923,219798,288842,80,28.53,36.7,105353,61.63,48.77,73.97,43.64
854,POINT (140.613255 -7.343182),6048004,79.59,18.82,941235,28.42,2.36,850115,0.55,3,13660,691503,933319,78,96.64,90.64,10044,13.24,35.42,93.67,51.13
855,POINT (116.287482 0.962775),14681560,49.3,45.95,973381,58.73,13.03,180833,96.16,2,1989,13306,19451,36,99.25,93.48,516518,0.8,29.26,49.55,57.04
856,POINT (134.156264 -1.557252),11012559,44.62,39.53,578641,66.19,63.89,784418,76.27,5,7779,421444,200815,61,3.62,34.25,46087,52.14,77.51,52.24,54.24
857,POINT (121.527060 -8.769505),1844200,83.92,89.76,784124,62.77,53.9,714816,85.91,5,9537,543639,153534,77,45.16,66.16,188992,26.32,29.15,38.25,5.04
858,POINT (102.141406 0.215026),9098398,80.46,82.12,700562,56.24,73.09,645193,90.14,5,21566,917744,796905,21,33.01,4.56,458680,86.02,53.94,89.13,56.03
859,POINT (96.218202 4.938652),5117245,53.65,77.57,640900,61.26,45.13,488821,6.77,3,14516,745564,450665,47,51.93,68.14,637351,93.68,50.84,9.66,60.58
860,POINT (119.389706 -9.524467),11917722,84.71,98.91,383842,50.61,79.07,129592,51.32,5,19807,247915,761619,59,57.53,4.96,428668,82.98,87.74,67.5,85.36
861,POINT (121.648504 -2.475257),9679675,97.64,2.79,69197,32.7,56.81,203281,90.53,3,20230,787784,41975,40,93.75,58.67,158201,53.88,10.13,77.57,77.04
862,POINT (111.830490 -8.136401),10662116,3.95,66.48,703482,90.25,98.06,609586,58.17,1,5952,979135,805641,43,33.91,56.9,675351,31.79,24.27,72.86,93.06
